,,あり                ,なし                ,  無回答            ,ｎ
,今回調査（全体）,11.7,87.5,0.8,2348
,前回調査,12.6,85.9,1.5,2263
業種別,情報・コンテンツ業,11.6,87.5,0.9,640
業種別,専門サービス業,5.4,93.8,0.9,820
業種別,技術サービス業,17.1,82.6,0.3,340
業種別,事業サービス業,18.1,81.3,0.6,507
特定10業種別,ソフトウェア業,13.3,86,0.7,286
特定10業種別,インターネット附随サービス業,11.3,87.1,1.6,62
特定10業種別,映像情報制作・配給業,10.3,88.2,1.5,68
特定10業種別,出版業,7.3,92.7,0,55
特定10業種別,税理士事務所,0.5,97.7,1.8,218
特定10業種別,デザイン業,10.6,89.4,0,104
特定10業種別,経営コンサルタント業,8.9,90.5,0.6,179
特定10業種別,建築設計業,15.6,83.9,0.6,180
特定10業種別,自動車整備業,11.1,88.9,0,54
特定10業種別,建物サービス業,14.4,84.7,0.9,111
従業者規模別,1～2人,4.1,95.7,0.2,971
従業者規模別,3～5人,5.1,94.4,0.5,573
従業者規模別,6～9人,10.8,88.4,0.8,250
従業者規模別,10～29人,23.4,76.3,0.3,316
従業者規模別,30人以上,48.6,50.5,1,210
