学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,43,181,8,73,0.4,22,116,0.6
高校卒,3,21,45,190,47,190,1,50,282,1.5
高校卒,5,23,44,203,54,365,1.8,52,509,2.5
高校卒,10,28,45,227,54,934,4.1,52,1218,5.4
高校卒,15,33,44,258,53,1844,7.1,51,2280,8.8
高校卒,20,38,45,290,54,3106,10.7,52,3597,12.4
高校卒,25,43,43,330,52,4645,14.1,50,5239,15.9
高校卒,30,48,42,355,51,6205,17.5,49,6877,19.4
高校卒,35,53,43,381,51,8054,21.1,49,8850,23.2
高校卒,37,55,41,392,47,9179,23.4,45,10578,27
高校卒,定年,定年,37,411,-,-,-,42,12045,29.3
高専・短大卒,1,21,36,190,8,84,0.4,17,126,0.7
高専・短大卒,3,23,37,202,43,210,1,42,330,1.6
高専・短大卒,5,25,35,216,45,411,1.9,43,592,2.7
高専・短大卒,10,30,35,243,44,1087,4.5,42,1441,5.9
高専・短大卒,15,35,37,277,46,2071,7.5,44,2579,9.3
高専・短大卒,20,40,35,312,44,3463,11.1,42,3974,12.7
高専・短大卒,25,45,35,348,44,4997,14.4,42,5539,15.9
高専・短大卒,30,50,35,388,44,6871,17.7,42,7415,19.1
高専・短大卒,35,55,34,407,42,8694,21.4,40,9283,22.8
高専・短大卒,定年,定年,31,430,-,-,-,35,11720,27.3
大学卒,1,23,56,213,13,109,0.5,25,157,0.7
大学卒,3,25,58,223,64,261,1.2,61,404,1.8
大学卒,5,27,56,240,67,492,2.1,62,725,3
大学卒,10,32,56,273,67,1237,4.5,63,1689,6.2
大学卒,15,37,55,312,66,2426,7.8,62,3036,9.7
大学卒,20,42,56,360,67,4117,11.4,63,4846,13.5
大学卒,25,47,53,398,64,6048,15.2,60,6830,17.2
大学卒,30,52,53,438,64,8381,19.1,60,9131,20.8
大学卒,33,55,51,453,61,10168,22.4,56,11190,24.7
大学卒,定年,定年,42,465,-,-,-,53,13230,28.5
