表側１,表側２,表側３,回答企業数(件),系列関係はない(％),メーカー系列(代理店・特約店等)(％),卸売業の系列(％),その他(％),無回答(％)
,,今回調査（全体）,760,58.8,11.6,24.7,1.6,3.3
,,前回調査,823,56.3,12.5,23.3,2.4,5.5
業種別,,食料品卸売業,237,61.6,5.5,29.1,0.8,3
業種別,,生鮮食品卸売業,126,57.9,0.8,36.5,1.6,3.2
業種別,,加工食品等卸売業,111,65.8,10.8,20.7,0,2.7
業種別,,衣料品関連卸売業,145,59.3,6.9,28.3,0.7,4.8
業種別,,住関連卸売業,83,59,19.3,19.3,0,2.4
業種別,,その他卸売業,288,57.3,16.3,20.5,2.8,3.1
従業者規模別,,1～5人,399,56.4,11.3,27.8,1.8,2.8
従業者規模別,,6～9人,101,50.5,12.9,27.7,2,6.9
従業者規模別,,10～49人,208,68.3,10.6,17.3,1.4,2.4
従業者規模別,,50人以上,36,55.6,22.2,19.4,0,2.8
取引形態別,一次卸,小売直取引卸,219,63,9.6,25.1,0.5,1.8
取引形態別,一次卸,他部門直取引卸,50,74,18,4,4,0
取引形態別,一次卸,元卸,154,63,14.3,19.5,0.6,2.6
取引形態別,二次卸,中間卸,85,43.5,5.9,43.5,3.5,3.5
取引形態別,二次卸,最終卸,135,60,7.4,31.1,0,1.5
取引形態別,その他,製造問屋,19,52.6,10.5,26.3,0,10.5
取引形態別,その他,その他卸,77,49.4,19.5,20.8,6.5,3.9
