表側,２人,３人,４人,５人以上,都平均
年平均1ヶ月消費支出額（円）,281830,348220,376739,390434,326563
食料（％）,27.5,26.3,25.7,29,26.9
住居（％）,8.7,7.7,5.6,3.8,7.2
光熱・水道（％）,6.7,6.3,6.2,7.1,6.5
家具・家事用品（％）,3.8,4,3.4,3.9,3.8
被服及び履物（％）,3.7,4.7,4.6,5.1,4.3
保健医療（％）,6.4,4.6,4.3,3.3,5.1
交通・通信（％）,10.1,12.6,11.9,9.7,11.2
教育（％）,0.3,4.7,12.8,15.3,5.9
教養娯楽（％）,12,11.5,10.8,10.9,11.5
その他の消費支出（％）,20.6,17.6,14.6,12,17.6
