表側１,表側２,表側３,回答企業数(件),大幅増加(10％以上)(％),やや増加(10％未満)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),大幅減少(10％以上)(％),3年前は実施していない(％),無回答(％)
,,今回調査（全体）,140,15,28.6,31.4,5,4.3,7.1,8.6
,,前回調査,149,7.4,26.8,43,10.1,5.4,3.4,4
業種別,,食料品卸売業,33,21.2,15.2,42.4,6.1,0,6.1,9.1
業種別,,生鮮食品卸売業,12,33.3,0,25,16.7,0,8.3,16.7
業種別,,加工食品等卸売業,21,14.3,23.8,52.4,0,0,4.8,4.8
業種別,,衣料品関連卸売業,38,10.5,36.8,18.4,7.9,10.5,10.5,5.3
業種別,,住関連卸売業,14,14.3,42.9,21.4,0,0,0,21.4
業種別,,その他卸売業,54,14.8,25.9,37,3.7,3.7,7.4,7.4
従業者規模別,,1～5人,42,11.9,16.7,28.6,9.5,4.8,11.9,16.7
従業者規模別,,6～9人,29,20.7,27.6,34.5,3.4,3.4,0,10.3
従業者規模別,,10～49人,50,16,32,34,2,4,8,4
従業者規模別,,50人以上,16,12.5,50,25,0,6.3,6.3,0
取引形態別,一次卸,小売直取引卸,56,10.7,21.4,39.3,8.9,3.6,8.9,7.1
取引形態別,一次卸,他部門直取引卸,7,28.6,0,57.1,0,14.3,0,0
取引形態別,一次卸,元卸,41,17.1,43.9,19.5,0,4.9,4.9,9.8
取引形態別,二次卸,中間卸,8,12.5,37.5,25,25,0,0,0
取引形態別,二次卸,最終卸,15,33.3,13.3,33.3,0,0,6.7,13.3
取引形態別,その他,製造問屋,3,0,33.3,0,0,0,33.3,33.3
取引形態別,その他,その他卸,7,0,42.9,42.9,0,0,14.3,0
売上高増減別(前年同期比),,増加,15,33.3,33.3,13.3,0,6.7,0,13.3
売上高増減別(前年同期比),,横ばい,20,0,15,40,20,5,20,0
売上高増減別(前年同期比),,減少,103,14.6,30.1,33,2.9,3.9,5.8,9.7
売上高増減別(３年前),,増加,37,16.2,29.7,35.1,8.1,0,5.4,5.4
売上高増減別(３年前),,横ばい,26,11.5,30.8,26.9,11.5,3.8,7.7,7.7
売上高増減別(３年前),,減少,72,15.3,27.8,31.9,1.4,5.6,8.3,9.7
