表側１,表側２,表側３,回答企業数(件),品揃えの幅(フルラインナップ・一括供給)(％),品揃えの深さ(専門性)(％),商材の発掘(％),新商品の企画・開発(％),顧客への品揃えの提案(％),顧客の売場づくり支援(％),顧客への販促提案(％),顧客への情報提供(％),短納期や納期の短縮化(％),小口受注・小口配送(％),多頻度配送(％),情報収集・分析(％),金融機能(％),他事業者との連携(％),その他(％),業務の効率化・合理化(％),特になし(％),無回答(％)
,,今回調査（全体）,443,18.1,33,33.6,28.2,19.2,4.7,23.7,26.2,12,14.2,5,12.4,1.1,8.8,0.9,15.3,14.7,2.3
業種別,,食料品卸売業,136,16.9,40.4,33.1,22.8,19.9,4.4,22.8,29.4,5.9,17.6,8.1,8.8,1.5,5.9,1.5,15.4,18.4,3.7
業種別,,生鮮食品卸売業,71,16.9,39.4,28.2,16.9,19.7,2.8,22.5,28.2,5.6,14.1,8.5,9.9,2.8,2.8,2.8,11.3,15.5,5.6
業種別,,加工食品等卸売業,65,16.9,41.5,38.5,29.2,20,6.2,23.1,30.8,6.2,21.5,7.7,7.7,0,9.2,0,20,21.5,1.5
業種別,,衣料品関連卸売業,98,20.4,28.6,35.7,38.8,25.5,6.1,19.4,16.3,17.3,12.2,5.1,15.3,2,5.1,2,16.3,8.2,3.1
業種別,,住関連卸売業,46,21.7,30.4,37,23.9,23.9,8.7,23.9,19.6,15.2,10.9,0,17.4,0,15.2,0,17.4,13,2.2
業種別,,その他卸売業,159,16.4,28.9,32.1,26.4,13.2,3.1,25.8,31.4,12.6,12.6,3.1,11.9,0.6,11.3,0,13.8,16.4,0.6
従業者規模別,,1～5人,265,15.1,26.4,27.2,20.8,17.4,2.6,17,20.8,11.7,16.2,4.5,9.8,1.1,9.4,0.4,9.8,20.4,2.6
従業者規模別,,6～9人,56,19.6,35.7,46.4,37.5,10.7,1.8,28.6,30.4,14.3,8.9,5.4,17.9,0,12.5,3.6,21.4,3.6,1.8
従業者規模別,,10～49人,108,23.1,46.3,43.5,40.7,24.1,10.2,34.3,38.9,11.1,10.2,5.6,14.8,1.9,5.6,0,22.2,5.6,1.9
従業者規模別,,50人以上,8,37.5,50,25,50,75,25,50,25,12.5,37.5,12.5,25,0,0,12.5,50,0,0
取引形態別,一次卸,小売直取引卸,129,17.8,34.1,39.5,35.7,24.8,7,23.3,26.4,14,10.1,3.9,17.1,2.3,6.2,0.8,14.7,10.9,1.6
取引形態別,一次卸,他部門直取引卸,21,23.8,52.4,38.1,33.3,14.3,4.8,23.8,42.9,14.3,19,9.5,4.8,0,9.5,0,23.8,4.8,0
取引形態別,一次卸,元卸,77,20.8,33.8,35.1,36.4,20.8,6.5,31.2,29.9,15.6,16.9,5.2,9.1,1.3,10.4,0,23.4,5.2,0
取引形態別,二次卸,中間卸,61,14.8,14.8,27.9,19.7,11.5,1.6,19.7,18,1.6,14.8,3.3,13.1,1.6,9.8,1.6,8.2,27.9,6.6
取引形態別,二次卸,最終卸,89,22.5,46.1,34.8,15.7,18,4.5,18,28.1,13.5,16.9,10.1,7.9,0,4.5,0,13.5,19.1,2.2
取引形態別,その他,製造問屋,10,10,20,30,60,40,0,30,30,20,30,0,30,0,30,0,20,10,0
取引形態別,その他,その他卸,40,12.5,27.5,20,20,12.5,0,22.5,25,7.5,7.5,0,15,0,15,5,10,22.5,0
経常損益の変化別(前年同期比),,増益,23,4.3,39.1,39.1,34.8,21.7,4.3,47.8,13,8.7,13,0,30.4,4.3,17.4,0,17.4,4.3,4.3
経常損益の変化別(前年同期比),,横ばい,45,33.3,33.3,42.2,22.2,17.8,11.1,28.9,31.1,31.1,13.3,6.7,8.9,2.2,6.7,4.4,26.7,4.4,2.2
経常損益の変化別(前年同期比),,減益,358,17.6,33,32.4,28.5,19.3,3.9,21.5,26.8,9.8,15.1,5,12,0.8,8.1,0.6,13.7,16.2,2.2
経常損益の変化別(３年前),,増益,60,16.7,33.3,30,23.3,20,5,30,20,10,15,1.7,11.7,3.3,11.7,0,20,11.7,5
経常損益の変化別(３年前),,横ばい,106,20.8,28.3,29.2,20.8,17,2.8,24.5,30.2,19.8,17.9,5.7,7.5,0.9,7.5,0,17,16,1.9
経常損益の変化別(３年前),,減益,270,17.4,34.4,36.3,32.2,19.6,5.6,21.9,25.6,9.6,13,5.6,13.7,0.7,8.5,1.5,14.1,14.8,1.9
