表側１,表側２,表側３,回答企業数(件),３百万円未満(%),３～５百万円未満(%),５百万～１千万円未満(%),１～２千万円未満(%),２～３千万円未満(%),３～５千万円未満(%),５千万円以上(%),無回答(%)
,,"今回調査
（全体）",1018,8.8,43.2,11.8,28.0,2.5,2.9,0.6,2.2
,,前回調査,858,9.6,44.2,11.3,27.5,1.7,1.2,1.5,3.0
業種別,,総合商品小売業,110,22.7,41.8,10.0,19.1,1.8,1.8,0.0,2.7
業種別,,生鮮食品小売業,56,8.9,55.4,7.1,17.9,3.6,1.8,0.0,5.4
業種別,,食料品関連小売業,233,8.2,46.8,13.3,25.8,1.3,2.1,0.4,2.1
業種別,,衣料品関連小売業,123,4.1,35.8,10.6,36.6,1.6,6.5,1.6,3.3
業種別,,住関連小売業,80,6.3,43.8,11.3,33.8,2.5,1.3,1.3,0.0
業種別,,その他小売業,395,6.8,42.0,12.7,29.4,3.5,3.3,0.5,1.8
