表側１,表側２,表側３,回答企業数(件),８時間未満(%),８～10時間未満(%),10～12時間未満(%),12～14時間未満(%),14～24時間未満(%),24時間(%),無回答(%)
,,今回調査（全体）,2141,26.8,46.5,12.7,2.7,1.6,7.3,2.4
,,前回調査,2003,27.0,45.3,15.0,3.1,2.0,6.7,0.8
業種別,,総合商品小売業,189,1.1,4.2,1.6,1.1,8.5,82.0,1.6
業種別,,生鮮食品小売業,134,17.2,53.0,22.4,6.7,0.7,0.0,0.0
業種別,,食料品関連小売業,535,24.3,47.7,20.7,5.2,1.7,0.0,0.4
業種別,,衣料品関連小売業,298,49.0,46.6,3.7,0.3,0.0,0.0,0.3
業種別,,住関連小売業,167,32.9,56.9,8.4,1.8,0.0,0.0,0.0
業種別,,その他小売業,773,28.1,55.1,13.3,1.9,1.2,0.0,0.4
従業者規模別,,１～２人,1066,35.0,46.9,12.0,2.8,0.4,0.2,2.7
従業者規模別,,３～５人,486,22.2,55.8,14.2,3.7,1.2,0.8,2.1
従業者規模別,,６～19人,336,17.0,40.8,13.4,1.5,4.5,20.8,2.1
従業者規模別,,20人以上,170,2.9,30.6,11.8,1.2,5.9,45.9,1.8
店舗立地環境別,,駅周辺,579,25.4,49.2,13.3,2.8,1.0,7.8,0.5
店舗立地環境別,,商業地（駅周辺を除く）,485,29.5,52.0,12.0,3.3,0.8,2.1,0.4
店舗立地環境別,,ロードサイド,128,17.2,48.4,15.6,3.1,2.3,12.5,0.8
店舗立地環境別,,住宅街,740,28.5,43.0,13.8,2.6,2.4,9.3,0.4
店舗立地環境別,,オフィス街,60,15.0,50.0,8.3,1.7,6.7,18.3,0.0
店舗立地環境別,,工業地・倉庫街,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0
店舗立地環境別,,その他,59,42.4,50.8,5.1,0.0,0.0,1.7,0.0
