表側,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年
消費支出(円),331740,314480,321982,333423,324036,326795,320605,327903,322314,326563
対前年増加率(％),,-5.2,2.4,3.6,-2.8,0.9,-1.9,2.3,-1.7,1.3
