表側１,表側２,表側３,回答企業数(件),５坪未満(%),５～10坪未満(%),10～20坪未満(%),20～30坪未満(%),30～50坪未満(%),50坪以上(%),無回答(%)
,,"今回調査
（全体）",2141,9.0,21.0,30.4,11.0,10.7,7.8,10.0
業種別,,総合商品小売業,189,0.0,0.0,2.1,7.9,42.9,33.3,13.8
業種別,,生鮮食品小売業,134,8.2,23.1,31.3,14.2,5.2,4.5,13.4
業種別,,食料品関連小売業,535,12.0,24.5,35.7,10.1,5.0,1.9,10.8
業種別,,衣料品関連小売業,298,8.7,26.8,35.2,9.4,4.4,7.4,8.1
業種別,,住関連小売業,167,7.2,21.0,35.9,12.0,8.4,6.0,9.6
業種別,,その他小売業,773,9.4,21.2,30.1,12.4,11.1,7.2,8.4
従業者規模別,,１～２人,1066,14.4,29.4,35.6,8.7,4.3,0.9,6.8
従業者規模別,,３～５人,486,4.9,19.8,38.5,14.4,8.8,3.9,9.7
従業者規模別,,６～19人,336,2.1,6.3,17.3,15.8,28.6,15.5,14.6
従業者規模別,,20人以上,170,1.2,0.6,6.5,6.5,22.9,45.9,16.5
