表側１,表側２,表側３,回答企業数(件),増加（５％以上）(%),ほぼ横ばい（±５％未満）(%),やや減少（10％未満）(%),減少（20％未満）(%),大幅減少（20％以上）(%),３年前は未創業(%),無回答(%),
,,今回調査（全体）,2141,8.4,26.6,22.4,18.4,20.6,0.4,3.2,
業種別,,総合商品小売業,189,11.6,52.4,17.5,7.4,6.3,0.0,4.8,
業種別,,生鮮食品小売業,134,9.7,25.4,27.6,14.9,17.9,0.0,4.5,
業種別,,食料品関連小売業,535,8.2,25.0,25.4,19.8,17.8,0.4,3.4,
業種別,,衣料品関連小売業,298,9.4,16.4,17.8,18.8,33.6,0.7,3.4,
業種別,,住関連小売業,167,4.2,28.1,19.2,21.0,24.0,0.0,3.6,
業種別,,その他小売業,773,8.3,25.0,23.2,20.4,20.2,0.5,2.5,
従業者規模別,,１～２人,1066,3.9,22.0,22.6,21.5,26.5,0.6,2.9,
従業者規模別,,３～５人,486,10.7,27.4,22.4,19.5,16.9,0.2,2.9,
従業者規模別,,６～19人,336,13.4,33.0,25.6,12.8,11.3,0.3,3.6,
従業者規模別,,20人以上,170,21.2,45.9,14.7,8.8,7.1,0.0,2.4,
