学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,113,189,33,63,0.3,47,90,0.5
高校卒,3,21,100,199,131,177,0.9,133,252,1.3
高校卒,5,23,100,211,146,334,1.6,145,452,2.1
高校卒,10,28,107,243,155,862,3.5,151,1119,4.6
高校卒,15,33,98,262,145,1573,6,143,1972,7.5
高校卒,20,38,101,286,149,2468,8.6,148,2993,10.5
高校卒,25,43,95,312,142,3522,11.3,141,4161,13.3
高校卒,30,48,95,337,143,4710,14,142,5441,16.1
高校卒,35,53,94,360,139,5929,16.5,138,6700,18.6
高校卒,37,55,95,367,138,6511,17.7,137,7374,20.1
高校卒,定年,定年,95,449,-,-,-,117,8803,19.6
高専・短大卒,1,21,108,201,33,68,0.3,50,104,0.5
高専・短大卒,3,23,95,212,116,192,0.9,117,272,1.3
高専・短大卒,5,25,96,224,131,360,1.6,126,482,2.2
高専・短大卒,10,30,95,254,134,939,3.7,132,1194,4.7
高専・短大卒,15,35,90,284,129,1717,6,127,2117,7.5
高専・短大卒,20,40,92,310,132,2728,8.8,130,3267,10.5
高専・短大卒,25,45,90,340,129,3964,11.7,127,4647,13.7
高専・短大卒,30,50,88,363,130,5207,14.3,128,5987,16.5
高専・短大卒,35,55,89,387,130,6532,16.9,128,7485,19.3
高専・短大卒,定年,定年,91,467,-,-,-,105,9225,19.8
大学卒,1,23,145,215,41,80,0.4,62,122,0.6
大学卒,3,25,138,229,157,212,0.9,155,309,1.3
大学卒,5,27,137,262,176,407,1.6,169,563,2.1
大学卒,10,32,134,276,178,1036,3.8,172,1371,5
大学卒,15,37,131,307,172,1915,6.2,168,2433,7.9
大学卒,20,42,135,342,179,3032,8.9,174,3735,10.9
大学卒,25,47,125,372,170,4294,11.5,164,5143,13.8
大学卒,30,52,125,399,172,5666,14.2,167,6674,16.7
大学卒,33,55,125,416,166,6677,16.1,162,7631,18.3
大学卒,定年,定年,126,499,-,-,-,144,9793,19.6
