表側１,表側２,表側３,回答企業数(件),常に見直し(%),定期的に見直し(%),随時必要に応じて(%),ほとんど行わない(%),自店では見直しできない(%),その他(%),無回答(%),
,,今回調査（全体）,2141,2.5,3.5,31.7,46.0,12.6,1.2,2.6,
,,前回調査,2003,2.5,3.2,32.6,41.1,15.4,1.0,4.2,
業種別,,総合商品小売業,189,0.5,1.1,6.3,13.8,70.9,2.6,4.8,
業種別,,生鮮食品小売業,134,3.0,1.5,26.9,60.4,5.2,0.0,3.0,
業種別,,食料品関連小売業,535,2.1,2.8,32.7,56.4,3.9,0.4,1.7,
業種別,,衣料品関連小売業,298,4.0,5.0,48.0,34.6,6.0,0.7,1.7,
業種別,,住関連小売業,167,2.4,4.8,34.1,53.3,1.2,1.2,3.0,
業種別,,その他小売業,773,2.5,3.9,31.3,47.0,10.7,1.8,2.8,
従業者規模別,,１～２人,1066,2.4,2.3,29.9,52.8,8.6,1.2,2.6,
従業者規模別,,３～５人,486,1.9,3.7,38.5,47.7,4.3,1.2,2.7,
従業者規模別,,６～19人,336,4.5,5.7,32.1,33.6,20.5,1.2,2.4,
従業者規模別,,20人以上,170,1.8,5.9,25.3,21.2,43.5,1.2,1.2,
年間売上高増減別（3年前）,,増加（５％以上）,227,3.5,5.7,36.6,33.5,18.1,1.8,0.9,
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,2.4,4.9,31.4,42.8,14.5,2.0,2.0,
年間売上高増減別（3年前）,,やや減少（10％未満）,450,1.1,2.4,30.0,53.8,11.1,0.9,0.7,
年間売上高増減別（3年前）,,減少（20％未満）,434,2.3,2.5,33.6,47.9,11.3,0.7,1.6,
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,3.6,2.7,30.8,48.8,10.6,1.1,2.5,
売上高経常利益率別,,黒字（プラス）,1093,2.5,3.9,31.6,44.0,15.6,1.5,1.0,
売上高経常利益率別,,赤字（マイナス）,838,2.7,3.1,34.1,48.2,9.4,1.0,1.4,
経常損益の変化別（3年前）,,増益,316,2.5,4.1,39.6,40.5,11.1,1.6,0.6,
経常損益の変化別（3年前）,,横ばい,702,2.4,3.4,28.2,51.4,11.5,1.3,1.7,
経常損益の変化別（3年前）,,減益,999,2.6,3.5,32.2,44.9,14.1,1.1,1.5,
