表側１,表側２,表側３,回答企業数(件),発注の当日(％),発注の翌日(％),発注の翌々日(％),発注後3～6日(％),発注後１週間以上(％),無回答(％)
,,今回調査（全体）,2003,13.1,40.2,17.7,15.9,7.8,5.3
,,前回調査,2189,17.2,37.7,16.8,15.4,7.2,5.8
業種別,,総合商品小売業,164,12.2,74.4,6.1,1.2,0.6,5.5
業種別,,生鮮食品小売業,113,27.4,54.9,4.4,3.5,0.9,8.8
業種別,,食料品関連小売業,511,10,42.9,21.5,19.6,2.5,3.5
業種別,,衣料品関連小売業,314,12.1,24.5,17.2,16.9,21.3,8
業種別,,住関連小売業,162,4.3,41.4,19.1,23.5,7.4,4.3
業種別,,その他小売業,737,15.6,35,19.4,16.4,8.5,5
従業者規模別,,1～2人,1059,13.7,32.4,20.2,19.7,8.7,5.3
従業者規模別,,3～5人,488,12.9,41.2,18.9,13.7,8.4,4.9
従業者規模別,,6～19人,272,13.6,58.1,11,9.6,5.5,2.2
従業者規模別,,20人以上,134,10.4,61.9,9.7,9,3.7,5.2
