表側１,表側２,表側３,回答企業数(件),創業者(％),創業者親族出身(％),従業員出身(％),社外からの就任(％),その他(％),無回答(％)
,,今回調査（全体）,760,38.9,44.5,8.4,4.9,1.1,2.2
,,前回調査,823,34.5,45.2,10,2.2,3.4,4.7
業種別,,食料品卸売業,237,32.5,51.1,10.1,5.1,0,1.3
業種別,,生鮮食品卸売業,126,32.5,52.4,7.9,5.6,0,1.6
業種別,,加工食品等卸売業,111,32.4,49.5,12.6,4.5,0,0.9
業種別,,衣料品関連卸売業,145,51.7,35.2,8.3,0.7,0,4.1
業種別,,住関連卸売業,83,37.3,43.4,7.2,7.2,2.4,2.4
業種別,,その他卸売業,288,38.5,44.1,7.3,5.9,2.1,2.1
従業者規模別,,1～5人,399,52.4,39.3,3.8,1.8,0.5,2.3
従業者規模別,,6～9人,101,29.7,46.5,14.9,7.9,1,0
従業者規模別,,10～49人,208,20.7,55.3,14.4,6.3,1.4,1.9
従業者規模別,,50人以上,36,11.1,41.7,11.1,25,5.6,5.6
取引形態別,一次卸,小売直取引卸,219,39.7,44.7,7.3,5,1.4,1.8
取引形態別,一次卸,他部門直取引卸,50,34,40,14,6,4,2
取引形態別,一次卸,元卸,154,49.4,36.4,11,2.6,0,0.6
取引形態別,二次卸,中間卸,85,47.1,40,3.5,4.7,0,4.7
取引形態別,二次卸,最終卸,135,23,59.3,11.1,4.4,0.7,1.5
取引形態別,その他,製造問屋,19,36.8,52.6,0,5.3,0,5.3
取引形態別,その他,その他卸,77,39,37.7,6.5,10.4,2.6,3.9
創業年別,,1940年以前,67,1.5,80.6,6,10.4,0,1.5
創業年別,,1941～1950年,38,2.6,68.4,15.8,10.5,2.6,0
創業年別,,1951～1960年,78,9,75.6,7.7,1.3,2.6,3.8
創業年別,,1961～1970年,86,12.8,62.8,11.6,5.8,1.2,5.8
創業年別,,1971～1980年,112,27.7,58.9,11.6,1.8,0,0
創業年別,,1981～1990年,100,51,38,5,5,0,1
創業年別,,1991～2000年,102,65.7,19.6,7.8,3.9,1,2
創業年別,,2001～2010年,99,76.8,7.1,7.1,4,2,3
創業年別,,2011年以降,52,75,11.5,5.8,1.9,1.9,3.8
