表側１,表側２,表側３,回答企業数(件),進んだ(％),変わらない(％),わからない(％),無回答(％)
,,今回調査（全体）,1875,18.6,37.8,24.7,18.9
業種別,,総合商品小売業,148,36.5,39.9,14.9,8.8
業種別,,生鮮食品小売業,105,6.7,25.7,32.4,35.2
業種別,,食料品関連小売業,483,14.5,32.7,30,22.8
業種別,,衣料品関連小売業,290,18.3,36.2,24.8,20.7
業種別,,住関連小売業,155,18.1,41.9,27.1,12.9
業種別,,その他小売業,692,19.7,42.6,21.2,16.5
従業者規模別,,1～2人,1000,10.5,34.8,32.4,22.3
従業者規模別,,3～5人,460,20.4,41.5,18.5,19.6
従業者規模別,,6～19人,254,37.8,44.1,10.2,7.9
従業者規模別,,20人以上,127,40.2,40.2,12.6,7.1
売上高増減別(前年同期比),,増加,134,38.8,34.3,16.4,10.4
売上高増減別(前年同期比),,横ばい,241,17.8,44.8,18.3,19.1
売上高増減別(前年同期比),,減少,1434,17.4,37.1,26.6,18.8
売上高増減別(3年前),,増加,130,36.9,40.8,13.8,8.5
売上高増減別(3年前),,横ばい,338,23.1,42.9,17.5,16.6
売上高増減別(3年前),,減少,1346,15.8,36.4,27.7,20.1
