区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,労組あり／集計人員（人）,労組あり／平均年齢（歳）,労組あり／平均勤続年数（年）,労組あり／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,労組あり／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,労組あり／令和5年7月1か月の平均賃金／所定時間外賃金（円）,労組あり／令和4年年間給与支払額（円）,労組なし／集計人員（人）,労組なし／平均年齢（歳）,労組なし／平均勤続年数（年）,労組なし／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,労組なし／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,労組なし／令和5年7月1か月の平均賃金／所定時間外賃金（円）,労組なし／令和4年年間給与支払額（円）
調査産業計,16202,43.2,11.2,379774,10833,27300,5677727,1682,42.9,14.3,380470,11813,23074,6101582,14520,43.3,10.8,379703,10719,27759,5628990
建設業計,2111,43.6,12.2,365451,7387,46247,6040374,34,49.5,24.3,381875,23144,80257,7420473,2077,43.5,12,365187,7129,45698,6015795
建設業／総合工事業,869,44.5,11.7,376646,5935,49525,6321678,32,49.4,24.8,385996,24590,80257,7563613,837,44.3,11.2,376283,5222,48274,6268970
建設業／職別工事業,695,46,12.7,373000,8340,42801,5674314,2,x,x,x,x,x,x,693,46,12.7,373180,8364,42801,5678820
建設業／設備工事業,547,39.2,12.4,338458,8484,45434,6060613,-,-,-,-,-,-,-,547,39.2,12.4,338458,8484,45434,6060613
製造業計,3879,44.4,13.6,339606,12682,22162,5044387,741,43.5,15.9,354883,12953,16333,5220516,3138,44.6,13.1,335909,12618,23497,5000966
製造業／食料品・たばこ・飼料製造業,182,45.3,14.3,319120,10396,11058,4422945,-,-,-,-,-,-,-,182,45.3,14.3,319120,10396,11058,4422945
製造業／繊維・衣服製造業,118,46,16.3,349682,17480,27418,4805648,13,47,14.3,412265,19718,9628,6982110,105,45.9,16.5,341859,17203,29685,4583560
製造業／木材・木製品・紙・パルプ製造業,140,44.3,13,348160,12050,8279,4790049,13,41.5,9.4,307423,10434,3027,4131629,127,44.5,13.4,352364,12215,8817,4870044
製造業／印刷・同関連業,492,43.1,12.8,305338,13366,30575,4374026,6,54.7,13.7,319551,17318,0,3412133,486,43,12.8,305159,13317,30952,4387172
製造業／化学工業,310,43.3,12.7,427226,16407,16935,5513514,40,40.6,16.1,386307,15860,199,6168206,270,43.8,12.2,434700,16488,19668,5417705
製造業／プラスチック製品製造業,127,47.9,11,343401,13654,8977,5151237,-,-,-,-,-,-,-,127,47.9,11,343401,13654,8977,5151237
製造業／ゴム製品・革・毛皮製造業,82,47.7,18.5,366626,9788,6112,5187586,-,-,-,-,-,-,-,82,47.7,18.5,366626,9788,6112,5187586
製造業／窯業・土石製品製造業,482,41.8,13.3,352691,12360,24434,5376265,200,41.6,14.2,369381,14877,31468,5999008,282,42,12.6,340930,10574,19446,4937402
