表側１,表側２,表側３,回答企業数(件),都心(%),副都心(%),城東(%),城南(%),城西(%),城北(%),多摩・島しょ(%),関東（都内を除く）(%),関東以外の道府県(%),海外(%),無回答(%)
,,今回調査（全体）,2141,17.3,6.0,21.4,7.1,6.4,3.2,8.6,12.5,9.8,1.6,6.1
,,前回調査,2003,16.3,7.7,20.8,5.5,6.6,3.6,7.4,12.8,9.1,1.7,8.5
業種別,,総合商品小売業,189,19.6,2.6,5.3,1.1,1.1,1.6,13.8,34.4,4.2,0.0,16.4
業種別,,生鮮食品小売業,134,9.0,8.2,31.3,14.9,5.2,3.7,10.4,9.0,4.5,0.0,3.7
業種別,,食料品関連小売業,535,9.7,3.6,24.1,8.2,8.8,4.7,11.4,15.0,10.3,0.6,3.7
業種別,,衣料品関連小売業,298,39.3,7.0,19.8,1.3,3.0,0.0,1.3,4.7,15.1,4.0,4.4
業種別,,住関連小売業,167,7.8,10.8,18.6,7.8,10.2,3.0,10.2,11.4,11.4,3.0,6.0
業種別,,その他小売業,773,16.3,6.5,22.9,8.9,6.9,3.5,7.8,9.4,9.7,1.8,6.3
従業者規模別,,１～２人,1066,17.2,6.7,24.9,6.0,7.2,3.9,7.4,10.3,9.9,1.1,5.3
従業者規模別,,３～５人,486,16.3,5.1,23.9,8.4,6.8,3.5,8.4,10.7,10.5,1.0,5.3
従業者規模別,,６～19人,336,16.1,4.5,15.5,8.6,6.0,1.8,9.8,17.6,8.9,3.3,8.0
従業者規模別,,20人以上,170,22.9,5.3,8.2,5.3,0.6,1.2,15.3,22.9,10.0,1.2,7.1
所在地別,,都心,167,34.1,3.6,21.0,6.0,0.0,0.0,0.0,12.6,12.0,3.6,7.2
所在地別,,副都心,216,19.0,18.5,13.9,5.1,7.4,3.2,0.5,13.0,11.1,2.8,5.6
所在地別,,城東,546,16.8,2.0,52.7,2.9,1.1,0.9,0.4,10.4,8.2,1.1,3.3
所在地別,,城南,215,17.7,3.7,10.7,41.9,1.9,0.5,0.9,5.6,10.7,1.9,4.7
所在地別,,城西,324,13.6,9.3,8.3,5.2,27.2,1.9,0.9,12.3,10.5,1.2,9.6
所在地別,,城北,158,16.5,6.3,17.1,0.0,3.2,30.4,0.6,13.3,8.9,0.0,3.8
所在地別,,多摩,504,14.3,4.2,5.4,1.6,3.4,0.2,34.5,17.7,9.3,1.6,7.9
