区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,3741,44.3,11.7,371771,12743,17069,5450254,1471,47.1,13.6,454672,14088,19907,6659504,2270,42.5,10.5,317780,11871,15205,4620175
建設業,355,44.8,12.3,322295,8922,19273,5215606,145,46.3,13.5,381791,11971,28514,6394104,210,43.7,11.4,281193,6816,12974,4350947
製造業,869,44.8,13.2,351872,14069,12948,5034556,316,46.9,15.1,415994,14561,15486,5879615,553,43.7,12.1,315541,13788,11489,4524397
情報通信業,345,44.8,11.7,441228,12594,16684,6062074,156,48.3,15.9,509887,13742,22968,7251500,189,42,8.2,390755,11647,11269,5193721
運輸業，郵便業,187,43.1,12.5,336659,15372,27332,5307358,74,48.9,16.3,419907,16507,15309,6240957,113,39.3,10,282142,14628,35206,4643252
卸売業，小売業,577,43.3,10.2,325464,12049,12076,4747251,181,45.5,10.5,402470,14353,10056,5846136,396,42.3,10.1,289528,10995,13037,4254647
金融業，保険業,597,45.4,12.9,442157,13335,25368,6856768,308,47.4,13.2,527149,13860,22144,8089549,289,43.3,12.5,350946,12776,28804,5462551
不動産業，物品賃貸業,257,40,8.1,380824,13144,7570,5478002,88,45.9,11.9,531596,16594,4022,7356372,169,36.9,6.1,292957,11347,9418,4235853
学術研究，専門・技術サービス業,150,45.3,8.9,497007,13218,31516,6392315,53,47,8.6,619733,14011,66693,7627143,97,44.4,9.1,428539,12784,12149,5697724
宿泊業，飲食サービス業,50,38.1,6,314025,16612,4426,3778376,5,51.4,2.6,371672,17174,1308,5086200,45,36.6,6.4,307474,16549,4780,3619852
生活関連サービス業，娯楽業,91,45.5,15.5,379676,12200,10222,5835337,41,45.9,17.1,437794,12458,9569,6997520,50,45.1,14.1,331046,11989,10769,4889374
教育，学習支援業（学校教育を除く）,54,42.9,8.8,264220,6951,11152,3468413,9,41.2,5,302354,5981,10386,3743700,45,43.2,9.6,255745,7145,11291,3401965
医療，福祉,52,48.4,8.8,291869,9173,21642,3865270,8,60.5,8.4,392778,11851,24101,4690283,44,46.3,8.9,277788,8686,21291,3741518
サービス業（他に分類されないもの）,157,46,12.6,319589,12682,20836,4412296,87,48.9,15.1,351859,13859,29393,4868045,70,42.4,9.6,279942,11219,9645,3825345
