表側,総数,区部,市部,町村部
2014年(人),1.97,1.89,2.16,2.13
2015年(人),1.96,1.88,2.15,2.11
2016年(人),1.95,1.87,2.13,2.09
2017年(人),1.93,1.86,2.12,2.06
2018年(人),1.92,1.85,2.10,2.04
2019年(人),1.91,1.84,2.09,2.02
2020年(人),1.90,1.83,2.07,2.01
2021年(人),1.89,1.82,2.05,1.99
2022年(人),1.88,1.81,2.04,1.97
2023年(人),1.86,1.79,2.02,1.95
