表側１,表側２,表側３,回答企業数(件),不変(％),増加(％),0～10％未満減少(％),10～30％未満減少(％),30～50％未満減少(％),50～80％未満減少(％),80％以上減少(％),無回答(％)
,,今回調査（全体）,1875,45.2,1.2,15.6,22.2,5.2,3.7,2.5,4.4
業種別,,総合商品小売業,148,83.1,0,3.4,5.4,2,2,0.7,3.4
業種別,,生鮮食品小売業,105,32.4,1.9,27.6,19,6.7,5.7,1,5.7
業種別,,食料品関連小売業,483,41.8,1.2,17.2,22.8,5.2,3.3,1.9,6.6
業種別,,衣料品関連小売業,290,31.4,1,18.3,29.7,7.9,5.5,3.1,3.1
業種別,,住関連小売業,155,41.9,0.6,12.9,25.2,5.2,3.2,3.9,7.1
業種別,,その他小売業,692,48,1.4,14.7,22.3,4.3,3.5,2.9,2.9
従業者規模別,,1～2人,1000,40.5,0.7,15.2,24.8,5.9,4.7,3.5,4.7
従業者規模別,,3～5人,460,41.7,1.3,18.3,25.2,5,2.8,1.5,4.1
従業者規模別,,6～19人,254,57.9,2,14.2,15,4.7,2.4,0.8,3.1
従業者規模別,,20人以上,127,71.7,2.4,11.8,8.7,0.8,0,0,4.7
売上高増減別(前年同期比),,増加,134,57.5,3,19.4,14.2,2.2,0,0.7,3
売上高増減別(前年同期比),,横ばい,241,59.3,1.7,15.8,16.6,1.7,0,1.2,3.7
売上高増減別(前年同期比),,減少,1434,41.8,1,15.4,24,6.1,4.7,2.9,4.1
売上高増減別(3年前),,増加,130,56.9,3.8,16.9,15.4,2.3,0.8,0.8,3.1
売上高増減別(3年前),,横ばい,338,63,1.5,11.8,15.1,2.4,1.5,0.9,3.8
売上高増減別(3年前),,減少,1346,40.1,0.9,16.1,24.8,6.2,4.5,3,4.4
店舗立地別,,商業地,609,41.2,0.7,19.5,24.1,6.1,3.6,2.5,2.3
店舗立地別,,大型ターミナル駅周辺,16,50,0,18.8,18.8,0,0,0,12.5
店舗立地別,,駅周辺（大型ターミナル駅を除く）,268,44.4,3.4,17.2,23.5,3.7,3,2.2,2.6
店舗立地別,,ロードサイド,127,52.8,1.6,12.6,21.3,3.9,3.1,0.8,3.9
店舗立地別,,住宅街,664,49.7,1.1,12.3,21.1,5.7,3.6,2.4,4.1
店舗立地別,,オフィス街,55,56.4,0,7.3,23.6,3.6,5.5,1.8,1.8
店舗立地別,,工業地・倉庫街,9,44.4,0,11.1,33.3,0,0,0,11.1
店舗立地別,,その他,38,34.2,0,26.3,15.8,5.3,0,7.9,10.5
所在地別,,都心,152,46.1,1.3,13.2,23.7,4.6,6.6,2.6,2
所在地別,,副都心,189,47.6,2.1,14.3,21.7,3.7,4.8,2.1,3.7
所在地別,,城東,443,49,0.7,16,16.9,5.9,3.6,2.7,5.2
所在地別,,城南,195,42.6,1,17.9,22.6,5.1,6.2,1,3.6
所在地別,,城西,333,44.1,0.6,14.4,25.5,6.3,2.7,2.7,3.6
所在地別,,城北,123,43.9,1.6,14.6,25.2,4.1,2.4,4.1,4.1
所在地別,,多摩,436,42.4,1.6,16.3,24.1,4.8,2.5,2.3,6
