表側１,表側２,表側３,回答企業数(件),大幅増加(10％以上)(％),やや増加(10％未満)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),大幅減少(10％以上)(％),無回答(％)
,,今回調査（全体）,1875,0.9,10.5,50,25.3,11.8,1.6
業種別,,総合商品小売業,148,0.7,20.3,68.2,8.1,2,0.7
業種別,,生鮮食品小売業,105,0,7.6,49.5,26.7,14.3,1.9
業種別,,食料品関連小売業,483,0.2,7.9,51.1,26.5,13,1.2
業種別,,衣料品関連小売業,290,0.7,6.9,39.3,34.1,17.2,1.7
業種別,,住関連小売業,155,0.6,5.8,54.2,23.2,14.2,1.9
業種別,,その他小売業,692,1.7,13.2,48.8,24.6,9.8,1.9
従業者規模別,,1～2人,1000,0.3,4.9,45.9,31.1,16.5,1.3
従業者規模別,,3～5人,460,0.9,13.7,50.4,23.5,8.9,2.6
従業者規模別,,6～19人,254,3.1,23.6,58.3,12.2,2.4,0.4
従業者規模別,,20人以上,127,1.6,18.1,68.5,9.4,0.8,1.6
売上高増減別(前年同期比),,増加,134,0.7,30.6,50.7,14.2,3.7,0
売上高増減別(前年同期比),,横ばい,241,0.8,13.3,63.1,18.3,3.3,1.2
売上高増減別(前年同期比),,減少,1434,1,8.1,48,27.8,13.4,1.7
売上高増減別(3年前),,増加,130,3.1,30,58.5,6.9,1.5,0
売上高増減別(3年前),,横ばい,338,0.9,16.3,66.6,12.4,2.7,1.2
売上高増減別(3年前),,減少,1346,0.7,7.1,45.2,30.5,14.8,1.6
