区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,11027,40.9,8.7,319035,10066,30800,4747538,6994,41.7,9.2,331722,9803,37674,4999281,4033,39.5,7.7,296734,10521,19073,4265630
建設業,1490,41.3,9.3,322847,6848,47300,5215954,1265,41.1,9.3,331900,6757,52903,5406334,225,42.5,9.6,271297,7360,15527,4081949
製造業,2526,41.9,10.8,286019,11975,23731,4268645,1609,41.9,11.4,298526,12267,29124,4539281,917,42,9.9,262694,11461,14242,3752755
情報通信業,1540,36.4,7.8,352045,9383,36698,5358989,1042,37.6,8.8,365464,9633,37886,5550736,498,34.1,5.7,324201,8859,34139,4945582
運輸業，郵便業,838,47.5,9.4,283547,6356,46291,4255961,699,49.2,9.9,290895,5298,48937,4252212,139,38.5,7.2,253543,11673,35379,4278525
卸売業，小売業,1249,40.2,8.2,299790,10550,21790,4312253,646,40.8,8.6,326031,10940,29845,4672205,603,39.5,7.9,271051,10132,12951,3848948
金融業，保険業,647,41,8.7,443795,12840,41697,6992071,318,40.8,6.8,494964,12957,44892,7984986,329,41.1,10.5,394503,12726,38609,6055693
不動産業，物品賃貸業,581,34.6,4.6,309279,11227,15401,4524444,309,35,4.7,329357,10866,21330,4970088,272,34.2,4.5,285092,11637,8688,3970834
学術研究，専門・技術サービス業,467,41.1,6.7,433851,9923,22401,6028232,203,42,7.1,474605,10310,30536,6623048,264,40.4,6.4,400875,9625,16204,5528114
宿泊業，飲食サービス業,312,37.1,6,284675,13315,16320,3518865,150,40.1,7.4,289988,12927,22890,3712547,162,34.3,4.6,279470,13673,10016,3320085
生活関連サービス業，娯楽業,297,40.9,9,291377,12750,27685,4155307,143,40.3,8.7,308770,13139,39400,4481358,154,41.4,9.2,273862,12388,16366,3821035
教育，学習支援業（学校教育を除く）,177,37.1,6.3,262798,11261,8083,3413058,58,36.8,6.3,288350,11379,13906,3977027,119,37.2,6.2,250163,11204,5220,3107575
医療，福祉,403,43.3,5.5,297259,7698,22129,3894947,136,41.6,5.6,301421,8924,26281,3984419,267,44.2,5.5,295061,7074,19909,3847171
サービス業（他に分類されないもの）,500,47.9,10.5,276415,10184,38273,4032293,416,49.2,10.9,279192,10116,44004,4122647,84,41.6,8.4,262989,10521,14551,3624446
