表側１,表側２,表側３,回答企業数(件),増加(%),変わらない(%),減少(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,13.3,53.1,29.7,0.3,3.6
業種別,,総合商品小売業,189,32.8,58.2,5.3,0.0,3.7
業種別,,生鮮食品小売業,134,6.7,50.0,40.3,0.0,3.0
業種別,,食料品関連小売業,535,8.8,57.2,29.3,0.2,4.5
業種別,,衣料品関連小売業,298,11.1,44.0,40.6,0.7,3.7
業種別,,住関連小売業,167,7.2,53.9,35.3,0.0,3.6
業種別,,その他小売業,773,15.7,52.4,28.3,0.5,3.1
従業者規模別,,１～２人,1066,7.3,48.7,39.8,0.5,3.8
従業者規模別,,３～５人,486,13.6,54.1,28.0,0.0,4.3
従業者規模別,,６～19人,336,22.3,64.3,10.1,0.6,2.7
従業者規模別,,20人以上,170,33.5,57.1,7.1,0.0,2.4
年間売上高増減別（3年前）,,増加（５％以上）,227,34.4,55.5,8.4,0.0,1.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,16.9,66.4,14.1,0.0,2.6
年間売上高増減別（3年前）,,やや減少（10％未満）,450,11.6,60.4,26.7,0.0,1.3
年間売上高増減別（3年前）,,減少（20％未満）,434,9.0,47.5,41.2,0.0,2.3
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,6.1,36.6,50.8,0.0,6.5
売上高経常利益率別,,黒字（プラス）,1093,16.2,56.5,23.5,0.3,3.6
売上高経常利益率別,,赤字（マイナス）,838,10.1,48.8,36.8,0.4,3.9
経常損益の変化別（3年前）,,増益,316,21.8,57.3,17.4,0.0,3.5
経常損益の変化別（3年前）,,横ばい,702,13.2,58.4,25.6,0.0,2.7
経常損益の変化別（3年前）,,減益,999,11.0,48.9,36.8,0.0,3.2
,,,,,,,,
,,,,,,,,
,,,,,,,,
