表側１,表側２,表側３,回答企業数(件),個人(％),法人(％),無回答(％)
,,今回調査（全体）,760,7.9,91.1,1.1
,,前回調査,823,10.2,88.5,1.3
業種別,,食料品卸売業,237,9.7,89.5,0.8
業種別,,生鮮食品卸売業,126,7.9,91.3,0.8
業種別,,加工食品等卸売業,111,11.7,87.4,0.9
業種別,,衣料品関連卸売業,145,8.3,91,0.7
業種別,,住関連卸売業,83,6,94,0
業種別,,その他卸売業,288,6.9,91.3,1.7
