表側１,表側２,表側３,回答企業数(件),都心(％),副都心(％),城東(％),城南(％),城西(％),城北(％),多摩(％),無回答(％)
,,"今回調査
（全体）",767,23.9,15.0,28.4,8.3,9.3,3.7,10.4,1.0
,,前回調査,760,20.0,11.2,32.5,9.3,9.9,5.3,10.7,1.2
業種別,,食料品卸売業,213,22.5,12.2,31.9,10.8,7.5,1.9,12.2,0.9
業種別,,生鮮食品卸売業,91,17.6,5.5,42.9,13.2,5.5,2.2,12.1,1.1
業種別,,加工食品等卸売業,122,26.2,17.2,23.8,9.0,9.0,1.6,12.3,0.8
業種別,,衣料品関連卸売業,111,31.5,20.7,23.4,6.3,12.6,2.7,2.7,0.0
業種別,,住関連卸売業,155,24.5,18.1,18.7,10.3,11.6,3.2,12.9,0.6
業種別,,その他卸売業,270,20.7,12.6,33.7,6.7,7.4,5.9,11.1,1.9
