表側,2016年
各種商品小売業(％),5.8
織物・衣服・身の回り品小売業(％),11.9
飲食料品小売業(％),41.3
機械器具小売業(％),8
その他の小売業(％),26.3
無店舗小売業(％),6.8
従業者数(人),683279
