表側１,表側２,表側３,回答企業数(件),3年以内(％),4～5年前(％),6～10年前(％),11～15年前(％),16年以上前(％),改装したことがない(％),無回答(％)
,,今回調査（全体）,2003,9,6.4,13.3,9.9,30.1,29.7,1.5
業種別,,総合商品小売業,164,15.9,21.3,18.9,6.1,4.9,32.3,0.6
業種別,,生鮮食品小売業,113,6.2,7.1,7.1,12.4,33.6,31.9,1.8
業種別,,食料品関連小売業,511,7.2,3.7,13.3,11,38.9,24.1,1.8
業種別,,衣料品関連小売業,314,8.3,5.7,11.1,10.8,33.4,29.6,1
業種別,,住関連小売業,162,7.4,3.7,14.2,3.7,38.3,29,3.7
業種別,,その他小売業,737,9.9,5.7,13.8,10.6,25.6,33,1.4
従業者規模別,,1～2人,1059,7.4,3.7,10.9,9.6,36.6,30.6,1.2
従業者規模別,,3～5人,488,7.6,5.7,14.3,10.7,30.9,28.5,2.3
従業者規模別,,6～19人,272,14.7,12.5,20.6,9.9,14.3,25.7,2.2
従業者規模別,,20人以上,134,16.4,19.4,16.4,9,9.7,29.1,0
売上高規模別,,1千万円未満,884,6.9,3.5,10,9.5,36.4,32.1,1.6
売上高規模別,,1～3千万円未満,427,8.2,4.2,12.6,10.8,34,28.6,1.6
売上高規模別,,3～5千万円未満,186,8.6,7.5,16.1,10.2,29,26.3,2.2
売上高規模別,,5千万～1億円未満,142,14.1,6.3,20.4,12.7,17.6,26.8,2.1
売上高規模別,,1～3億円未満,202,14.9,14.4,19.8,9.4,12.9,27.7,1
売上高規模別,,3～5億円未満,49,14.3,14.3,20.4,6.1,10.2,34.7,0
売上高規模別,,5億円以上,48,14.6,22.9,27.1,8.3,10.4,16.7,0
