表側,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年
年平均1ヶ月消費支出額(円),331740,314480,321982,333423,324036,326795,320605,327903,322314,326563
食料(％),23.7,24.8,24.5,24.1,25,25.6,26.4,26.1,26.7,26.9
住居(％),7.6,7.5,7.9,8.9,7.9,7.7,7.7,7.3,7.4,7.2
光熱・水道(％),6.8,6.8,7.2,7.1,7.4,7.1,6.4,6.4,6.6,6.5
家具・家事用品(％),3.4,3.4,3.4,3.4,3.7,3.4,3.5,3.7,3.3,3.8
被服及び履物(％),4.7,4.4,4.6,4.6,4.7,4.7,4.5,4.3,4.2,4.3
保健医療(％),4.6,4.9,4.8,4.7,4.7,4.7,4.7,4.7,5,5.1
交通・通信(％),10.8,10.7,10.9,11.3,11.3,10.8,10.4,11.2,11.1,11.2
教育(％),5.8,6.3,6,5.3,4.7,5.8,6.2,6,6.3,5.9
教養娯楽(％),12.9,11.7,11.4,11.4,11.8,11.5,11.3,11.4,11.2,11.5
その他の消費支出(％),19.7,19.5,19.2,19.3,18.8,18.7,18.8,18.9,18.1,17.6
