表側１,表側２,表側３,回答企業数(件),300ｍ以内(%),300ｍ超～500ｍ以内(%),500ｍ超～１km以内(%),１km超～３km以内(%),３km超(%),広域で限定できない(%),わからない(%),無回答(%)
,,今回調査（全体）,2141,13.2,14.2,16.3,8.9,4.9,18.3,21.3,3.0
,,前回調査,2003,14.9,16.7,16.8,9.8,4.7,18.7,15.0,3.4
業種別,,総合商品小売業,189,29.6,38.6,16.9,6.3,0.5,0.5,6.9,0.5
業種別,,生鮮食品小売業,134,17.2,20.9,20.9,5.2,5.2,6.7,23.1,0.7
業種別,,食料品関連小売業,535,13.1,15.7,16.6,8.4,6.5,13.6,24.5,1.5
業種別,,衣料品関連小売業,298,8.7,8.1,15.1,12.8,3.4,26.2,23.5,2.3
業種別,,住関連小売業,167,4.8,7.2,14.4,15.0,10.8,31.7,16.2,0.0
業種別,,その他小売業,773,12.8,10.6,16.9,8.2,4.4,23.0,23.5,0.5
従業者規模別,,１～２人,1066,12.2,11.6,16.5,7.7,4.0,19.5,25.0,3.5
従業者規模別,,３～５人,486,11.1,12.1,17.5,12.1,6.6,17.3,20.4,2.9
従業者規模別,,６～19人,336,14.9,21.4,16.1,8.0,5.7,15.8,15.8,2.4
従業者規模別,,20人以上,170,20.0,22.9,13.5,8.8,5.3,16.5,11.8,1.2
店舗立地環境別,,駅周辺,579,17.1,13.8,18.3,10.5,4.1,17.4,18.0,0.7
店舗立地環境別,,商業地（駅周辺を除く,485,13.2,14.4,15.9,7.8,4.3,19.6,23.7,1.0
店舗立地環境別,,ロードサイド,128,7.8,9.4,15.6,12.5,9.4,22.7,21.9,0.8
店舗立地環境別,,住宅街,740,10.9,16.2,17.2,9.5,5.5,16.9,22.8,0.9
店舗立地環境別,,オフィス街,60,15.0,18.3,10.0,5.0,5.0,23.3,21.7,1.7
店舗立地環境別,,工業地・倉庫街,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
店舗立地環境別,,その他,59,18.6,8.5,10.2,3.4,3.4,32.2,23.7,0.0
所在地別,,都心,167,21.0,11.4,8.4,6.0,3.0,31.1,17.4,1.8
所在地別,,副都心,216,14.4,17.6,13.4,4.6,4.6,23.1,18.5,3.7
所在地別,,城東,546,14.7,13.2,16.5,8.2,4.2,15.9,25.1,2.2
所在地別,,城南,215,15.3,15.3,19.1,8.4,4.7,16.7,17.2,3.3
所在地別,,城西,324,8.3,16.4,23.8,10.8,2.8,13.6,21.0,3.4
所在地別,,城北,158,18.4,17.1,14.6,8.2,5.7,10.8,19.6,5.7
所在地別,,多摩,504,9.3,11.5,14.9,11.7,7.7,20.6,21.6,2.6
