表側１,表側２,表側３,回答企業数(件),販売している(％),今後販売する予定(％),販売していたが中止した(％),販売予定なし(％),無回答(％)
,,"今回調査
（全体）",767,24.8,6.9,3.1,59.6,5.6
,,前回調査,760,19.3,13.4,4.3,59.5,3.4
業種別,,食料品卸売業,213,21.6,8.9,2.8,62.4,4.2
業種別,,生鮮食品卸売業,91,12.1,7.7,4.4,72.5,3.3
業種別,,加工食品等卸売業,122,28.7,9.8,1.6,54.9,4.9
業種別,,衣料品関連卸売業,111,36.0,7.2,3.6,46.8,6.3
業種別,,住関連卸売業,155,18.7,5.2,5.8,63.9,6.5
業種別,,その他卸売業,270,24.8,6.7,1.9,60.4,6.3
従業者規模別,,１～５人,406,16.5,6.9,3.0,66.3,7.4
従業者規模別,,６～９人,119,31.1,3.4,5.0,56.3,4.2
従業者規模別,,10～49人,192,34.9,8.3,2.6,51.0,3.1
従業者規模別,,50人以上,28,60.7,10.7,3.6,21.4,3.6
取引形態別,一次卸,小売直取引卸,229,31.0,8.3,2.2,54.1,4.4
取引形態別,一次卸,他部門直取引卸,67,17.9,7.5,3.0,67.2,4.5
取引形態別,一次卸,元卸,127,37.0,5.5,2.4,50.4,4.7
取引形態別,二次卸,中間卸,93,15.1,6.5,2.2,63.4,12.9
取引形態別,二次卸,最終卸,131,18.3,7.6,3.1,68.7,2.3
取引形態別,その他,製造問屋,20,20.0,5.0,10.0,50.0,15.0
取引形態別,その他,その他卸,65,13.8,4.6,6.2,69.2,6.2
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,28.3,8.3,5.8,52.5,5.0
年間売上高増減別（3年前）,,やや増加（10％未満）,108,28.7,5.6,4.6,55.6,5.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,18.2,7.1,1.3,66.9,6.5
年間売上高増減別（3年前）,,やや減少（10％未満）,124,28.2,8.1,2.4,58.9,2.4
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,22.7,5.6,3.0,60.9,7.7
売上高経常利益率別,,黒字（プラス）,462,25.5,6.1,2.8,61.0,4.5
売上高経常利益率別,,赤字（マイナス）,271,22.1,8.5,4.1,57.6,7.7
経常損益の変化別（3年前）,,増益,197,29.9,7.1,5.1,53.3,4.6
経常損益の変化別（3年前）,,横ばい,240,19.6,6.3,1.3,65.4,7.5
経常損益の変化別（3年前）,,減益,305,23.9,7.9,3.6,59.7,4.9
代表者の年齢別,,40歳未満,9,22.2,0.0,0.0,55.6,22.2
代表者の年齢別,,40歳代,87,35.6,4.6,5.7,48.3,5.7
代表者の年齢別,,50歳代,223,29.1,9.0,3.1,54.7,4.0
代表者の年齢別,,60歳代,225,20.4,6.2,2.7,66.2,4.4
代表者の年齢別,,70歳以上,217,19.8,6.9,2.8,63.1,7.4
一般消費者への販売状況別,,販売している,280,55.7,6.1,1.4,34.3,2.5
一般消費者への販売状況別,,今後販売する予定,31,6.5,51.6,6.5,19.4,16.1
一般消費者への販売状況別,,販売していたが中止した,18,5.6,5.6,33.3,50.0,5.6
一般消費者への販売状況別,,販売予定なし,405,6.4,4.4,3.0,80.7,5.4
