表側１,表側２,表側３,回答企業数(件),増加(％),変わらない(％),減少(％),無回答(％)
,,今回調査（全体）,1875,11.6,53.3,32.3,2.8
業種別,,総合商品小売業,148,21.6,73,4.7,0.7
業種別,,生鮮食品小売業,105,4.8,57.1,34.3,3.8
業種別,,食料品関連小売業,483,7.7,55.9,32.5,3.9
業種別,,衣料品関連小売業,290,7.6,45.2,45.5,1.7
業種別,,住関連小売業,155,6.5,50.3,37.4,5.8
業種別,,その他小売業,692,16.2,51,30.8,2
従業者規模別,,1～2人,1000,6,48.6,42.2,3.2
従業者規模別,,3～5人,460,14.3,53.7,28.7,3.3
従業者規模別,,6～19人,254,22.8,65.7,10.6,0.8
従業者規模別,,20人以上,127,26,66.1,6.3,1.6
売上高増減別(前年同期比),,増加,134,32.8,56,11.2,0
売上高増減別(前年同期比),,横ばい,241,11.6,65.1,20.3,2.9
売上高増減別(前年同期比),,減少,1434,9.7,50.9,36.4,3
売上高増減別(3年前),,増加,130,33.1,60,6.2,0.8
売上高増減別(3年前),,横ばい,338,16.6,68,12.7,2.7
売上高増減別(3年前),,減少,1346,8.4,49,40,2.7
