,,資料作成(表計算、文書作成等),財務会計,人事・労務,顧客・販売管理,仕入・在庫管理,物流管理,受発注,電子メール・企業内ＳＮＳ,企業情報の発信(ホームページやＳＮＳ等),金融サービス(資金決済、振込等),グループウェア,その他,無回答            ,  n
, 今回調査（全体）,91.8,74.2,50.6,48.9,26,8.2,43.5,84.2,54.5,54.5,38.5,4.5,0.6,462
窃盗,自転車盗,練馬,氷川台駐在所,131202,東京都,練馬区,平和台２丁目,2018-11-29,18,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-02-08,18,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-02-14,20,その他,10歳代,高校生,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-06-17,08,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-06-29,00,その他,10歳代,大学生,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-07-02,22,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-07-18,20,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-11-08,11,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-11-15,15,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町３丁目,2018-12-03,16,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町４丁目,2018-05-06,07,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町５丁目,2018-02-07,16,４階建て以上共同住宅,60-64歳,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町５丁目,2018-04-08,15,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町５丁目,2018-04-13,13,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町５丁目,2018-05-24,07,４階建て以上共同住宅,10歳代,大学生,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町５丁目,2018-06-03,19,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町５丁目,2018-07-28,14,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,春日町５丁目,2018-11-07,21,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,早宮２丁目,2018-04-01,20,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,早宮４丁目,2018-06-05,18,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,練馬,春日町交番,131202,東京都,練馬区,早宮４丁目,2018-11-13,15,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,羽沢１丁目,2018-06-01,17,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮１丁目,2018-01-25,13,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮１丁目,2018-07-07,13,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-02-11,12,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-03-15,13,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-04-15,15,道路上,50歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-04-18,08,４階建て以上共同住宅,10歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-04-20,21,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-04-28,13,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-05-25,08,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-05-28,05,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-06-04,12,その他,10歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-07-06,23,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-10-14,09,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-10-26,09,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-10-29,14,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-11-03,15,道路上,10歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-11-05,11,一戸建住宅,50歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,早宮２丁目,2018-12-11,10,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,氷川台４丁目,2018-07-14,23,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,氷川台４丁目,2018-08-28,10,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,氷川台４丁目,2018-09-03,09,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,氷川台４丁目,2018-10-16,07,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,平和台３丁目,2018-02-04,13,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,平和台３丁目,2018-05-31,19,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,平和台４丁目,2018-03-10,16,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,平和台４丁目,2018-03-11,09,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,平和台４丁目,2018-11-16,08,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,練馬,早宮交番,131202,東京都,練馬区,平和台４丁目,2018-12-02,22,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉中１丁目,2018-05-24,20,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉中１丁目,2018-09-24,20,一戸建住宅,50歳代,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉中２丁目,2018-01-03,19,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉中２丁目,2018-04-01,16,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉中３丁目,2018-07-08,23,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉中３丁目,2018-08-18,19,その他,30歳代,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉中３丁目,2018-08-27,23,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉南２丁目,2018-02-23,20,一戸建住宅,60-64歳,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉南２丁目,2018-08-04,17,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉南３丁目,2018-07-25,21,４階建て以上共同住宅,10歳代,中学生,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉南３丁目,2018-08-24,17,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,練馬,氷川神社前交番,131202,東京都,練馬区,豊玉南３丁目,2018-12-22,06,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井１丁目,2018-03-07,11,その他,70歳以上,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井１丁目,2018-03-15,19,道路上,20歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井１丁目,2018-06-26,20,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井１丁目,2018-08-04,08,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井１丁目,2018-08-14,08,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井１丁目,2018-10-16,07,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井２丁目,2018-07-30,12,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-01-03,13,道路上,20歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-01-13,13,駐車（輪）場,40歳代,その他,施錠した
