表側１,表側２,表側３,回答企業数(件),黒字が拡大(％),赤字から黒字に転換(％),赤字だが損失額は縮小(％),黒字でほぼ横ばい（±５％未満）(％),赤字でほぼ横ばい（±５％未満）(％),黒字だが利益額は減少(％),黒字から赤字に転落(％),赤字が拡大(％),３年前は未創業(％),無回答(％)
,,"今回調査
（全体）",767,12.6,6.3,6.8,18.5,12.8,18.3,12.0,9.5,0.0,3.3
業種別,,食料品卸売業,213,12.2,8.5,6.6,23.0,12.2,18.8,12.2,5.2,0.0,1.4
業種別,,生鮮食品卸売業,91,13.2,7.7,5.5,26.4,12.1,19.8,8.8,6.6,0.0,0.0
業種別,,加工食品等卸売業,122,11.5,9.0,7.4,20.5,12.3,18.0,14.8,4.1,0.0,2.5
業種別,,衣料品関連卸売業,111,10.8,3.6,11.7,14.4,9.0,15.3,16.2,16.2,0.0,2.7
業種別,,住関連卸売業,155,14.8,7.7,5.8,17.4,12.9,16.8,12.9,11.6,0.0,0.0
業種別,,その他卸売業,270,13.3,5.2,5.9,18.1,15.6,21.1,10.4,9.6,0.0,0.7
従業者規模別,,１～５人,406,4.2,6.4,7.4,15.8,20.2,15.3,14.3,12.8,0.0,3.7
従業者規模別,,６～９人,119,12.6,5.9,6.7,24.4,5.0,25.2,11.8,5.9,0.0,2.5
従業者規模別,,10～49人,192,28.6,5.2,5.7,21.4,3.1,19.8,8.3,5.2,0.0,2.6
従業者規模別,,50人以上,28,32.1,10.7,7.1,17.9,0.0,25.0,7.1,0.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,15.7,7.9,8.3,15.3,12.2,14.0,12.7,12.7,0.0,1.3
取引形態別,一次卸,他部門直取引卸,67,16.4,4.5,4.5,11.9,13.4,22.4,13.4,13.4,0.0,0.0
取引形態別,一次卸,元卸,127,16.5,1.6,6.3,22.0,8.7,27.6,11.8,3.1,0.0,2.4
取引形態別,二次卸,中間卸,93,5.4,8.6,9.7,20.4,17.2,20.4,10.8,7.5,0.0,0.0
取引形態別,二次卸,最終卸,131,9.9,9.9,3.8,26.7,9.9,17.6,12.2,9.9,0.0,0.0
取引形態別,その他,製造問屋,20,20.0,5.0,15.0,5.0,25.0,5.0,15.0,10.0,0.0,0.0
取引形態別,その他,その他卸,65,9.2,3.1,7.7,15.4,18.5,18.5,12.3,12.3,0.0,3.1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
