表側１,表側２,表側３,回答企業数(件),５％未満(％),５～10％未満(％),10～15％未満(％),15～20％未満(％),20～25％未満(％),25～30％未満(％),30％以上(％),無回答(％)
,,"今回調査
（全体）",767,16.3,15.8,12.9,15.5,12.3,6.9,15.1,5.2
,,前回調査,760,14.1,14.9,12.0,14.1,13.3,9.1,17.8,4.9
業種別,,食料品卸売業,213,19.2,20.7,18.3,17.4,9.4,5.6,6.1,3.3
業種別,,生鮮食品卸売業,91,16.5,18.7,13.2,20.9,12.1,9.9,6.6,2.2
業種別,,加工食品等卸売業,122,21.3,22.1,22.1,14.8,7.4,2.5,5.7,4.1
業種別,,衣料品関連卸売業,111,18.9,15.3,10.8,12.6,12.6,9.0,16.2,4.5
業種別,,住関連卸売業,155,15.5,13.5,12.9,18.1,15.5,6.5,18.1,0.0
業種別,,その他卸売業,270,14.4,14.4,10.4,14.8,13.3,7.8,20.7,4.1
従業者規模別,,１～５人,406,20.7,18.5,11.6,14.0,11.3,6.7,11.1,6.2
従業者規模別,,６～９人,119,15.1,11.8,11.8,16.8,13.4,6.7,20.2,4.2
従業者規模別,,10～49人,192,8.9,13.5,15.1,19.3,13.5,8.3,17.7,3.6
従業者規模別,,50人以上,28,10.7,10.7,17.9,14.3,14.3,3.6,28.6,0.0
取引形態別,一次卸,小売直取引卸,229,17.9,12.2,12.2,14.4,14.4,7.9,18.3,2.6
取引形態別,一次卸,他部門直取引卸,67,9.0,17.9,16.4,14.9,16.4,13.4,11.9,0.0
取引形態別,一次卸,元卸,127,16.5,20.5,12.6,14.2,7.1,5.5,19.7,3.9
取引形態別,二次卸,中間卸,93,21.5,20.4,18.3,19.4,7.5,3.2,6.5,3.2
取引形態別,二次卸,最終卸,131,13.0,16.0,13.7,19.8,19.8,5.3,9.9,2.3
取引形態別,その他,製造問屋,20,10.0,10.0,10.0,25.0,20.0,0.0,15.0,10.0
取引形態別,その他,その他卸,65,24.6,13.8,9.2,9.2,3.1,12.3,24.6,3.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
