表側１,表側２,表側３,回答企業数(件),大幅増加(10％以上)(％),やや増加(10％未満)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),大幅減少(10％以上)(％),無回答(％)
,,今回調査（全体）,725,6.2,9.4,24,20.4,38.1,1.9
業種別,,食料品卸売業,222,8.6,8.1,21.6,24.3,35.6,1.8
業種別,,生鮮食品卸売業,116,6.9,7.8,20.7,25,37.9,1.7
業種別,,加工食品等卸売業,106,10.4,8.5,22.6,23.6,33,1.9
業種別,,衣料品関連卸売業,140,2.9,7.9,21.4,14.3,51.4,2.1
業種別,,住関連卸売業,80,3.8,15,22.5,21.3,33.8,3.8
業種別,,その他卸売業,276,6.9,9.1,27.9,19.9,34.8,1.4
従業者規模別,,1～5人,376,4,5.6,19.9,21,48.1,1.3
従業者規模別,,6～9人,99,9.1,14.1,23.2,19.2,32.3,2
従業者規模別,,10～49人,204,6.4,11.8,31.4,22.1,25.5,2.9
従業者規模別,,50人以上,35,20,25.7,20,11.4,22.9,0
取引形態別,一次卸,小売直取引卸,212,4.2,9.4,25,18.9,40.1,2.4
取引形態別,一次卸,他部門直取引卸,47,14.9,14.9,25.5,17,27.7,0
取引形態別,一次卸,元卸,148,8.1,14.9,31.1,18.9,25.7,1.4
取引形態別,二次卸,中間卸,80,0,5,18.8,26.3,47.5,2.5
取引形態別,二次卸,最終卸,128,8.6,5.5,15.6,28.1,42.2,0
取引形態別,その他,製造問屋,19,5.3,5.3,31.6,5.3,52.6,0
取引形態別,その他,その他卸,71,7,7,26.8,12.7,43.7,2.8
