学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,7,194,-,-,-,1,x,x
高校卒,3,21,7,213,7,185,0.9,7,238,1.1
高校卒,5,23,7,234,8,419,1.8,8,504,2.2
高校卒,10,28,8,280,9,1200,4.3,9,1586,5.7
高校卒,15,33,7,320,8,1955,6.1,8,2197,6.9
高校卒,20,38,7,361,8,3082,8.5,8,3309,9.2
高校卒,25,43,7,405,8,4259,10.5,8,4569,11.3
高校卒,30,48,7,431,8,5620,13,8,6021,14
高校卒,35,53,7,445,8,6783,15.2,8,7451,16.7
高校卒,37,55,7,437,8,7224,16.5,8,7798,17.8
高校卒,定年,定年,5,408,-,-,-,7,9418,23.1
高専・短大卒,1,21,13,199,2,x,x,3,x,x
高専・短大卒,3,23,12,217,14,175,0.8,13,240,1.1
高専・短大卒,5,25,13,229,17,355,1.6,15,474,2.1
高専・短大卒,10,30,12,272,16,1019,3.7,15,1252,4.6
高専・短大卒,15,35,13,313,17,1876,6,16,2228,7.1
高専・短大卒,20,40,12,356,16,3238,9.1,15,3633,10.2
高専・短大卒,25,45,12,390,16,4709,12.1,15,5220,13.4
高専・短大卒,30,50,12,418,16,6143,14.7,15,6765,16.2
高専・短大卒,35,55,12,421,16,7220,17.1,15,8005,19
高専・短大卒,定年,定年,11,408,-,-,-,12,9161,22.5
大学卒,1,23,20,225,5,153,0.7,7,187,0.8
大学卒,3,25,21,235,21,301,1.3,19,402,1.7
大学卒,5,27,20,259,23,585,2.3,22,750,2.9
大学卒,10,32,21,289,24,1432,5,23,1777,6.1
大学卒,15,37,20,335,23,2713,8.1,22,3232,9.6
大学卒,20,42,20,390,23,4426,11.3,22,5102,13.1
大学卒,25,47,19,421,22,6288,14.9,21,7087,16.8
大学卒,30,52,20,458,23,8161,17.8,22,8989,19.6
大学卒,33,55,19,455,22,9447,20.8,21,10285,22.6
大学卒,定年,定年,16,448,-,-,-,18,11929,26.6
