表側１,表側２,表側３,回答企業数(件),現事業を維持(％),現事業を拡大(％),現事業に加え、新たな事業を展開(％),現事業を縮小し、新たな事業を展開(％),現事業を縮小し、新たな事業を展開しない(％),その他(％),わからない・まだ決めていない(％),廃業の予定(％),無回答(％)
,,"今回調査
（全体）",767,38.1,16.4,18.6,2,2,0.3,11,5.9,5.9
,,前回調査,760,41.1,13.2,16.6,2.1,3,0.1,12.2,5.8,5.9
業種別,,食料品卸売業,213,40.8,17.8,14.6,1.4,1.4,0,12.7,4.7,6.6
業種別,,生鮮食品卸売業,91,48.4,15.4,8.8,1.1,2.2,0,13.2,4.4,6.6
業種別,,加工食品等卸売業,122,35.2,19.7,18.9,1.6,0.8,0,12.3,4.9,6.6
業種別,,衣料品関連卸売業,111,36.9,12.6,22.5,3.6,1.8,0.9,9,5.4,7.2
業種別,,住関連卸売業,155,34.8,19.4,17.4,0.6,3.9,0.6,9,8.4,5.8
業種別,,その他卸売業,270,37,15.6,21.9,2.2,1.1,0,11.5,5.6,5.2
従業者規模別,,１～５人,406,40.9,9.1,10.3,2.7,3.2,0,15.5,9.9,8.4
従業者規模別,,６～９人,119,38.7,17.6,22.7,0.8,1.7,0.8,10.9,0.8,5.9
従業者規模別,,10～49人,192,34.4,26.6,32.8,1.6,0,0,2.1,0.5,2.1
従業者規模別,,50人以上,28,21.4,42.9,32.1,0,0,0,3.6,0,0
取引形態別,一次卸,小売直取引卸,229,37.1,14.4,21.4,3.9,2.2,0,9.6,5.7,5.7
取引形態別,一次卸,他部門直取引卸,67,34.3,23.9,25.4,0,0,1.5,9,1.5,4.5
取引形態別,一次卸,元卸,127,41.7,26,18.1,0,0.8,0,6.3,1.6,5.5
取引形態別,二次卸,中間卸,93,40.9,6.5,15.1,1.1,2.2,0,18.3,7.5,8.6
取引形態別,二次卸,最終卸,131,38.2,14.5,19.1,2.3,2.3,0,10.7,6.9,6.1
取引形態別,その他,製造問屋,20,35,15,25,0,5,0,20,0,0
取引形態別,その他,その他卸,65,29.2,18.5,12.3,1.5,1.5,1.5,13.8,16.9,4.6
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,28.3,28.3,30.8,0.8,0,0,5,2.5,4.2
年間売上高増減別（3年前）,,やや増加（10％未満）,108,42.6,24.1,16.7,1.9,0.9,0,8.3,2.8,2.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,42.2,19.5,17.5,0.6,1.9,0.6,11,4.5,1.9
年間売上高増減別（3年前）,,やや減少（10％未満）,124,43.5,9.7,12.1,3.2,1.6,0,13.7,6.5,9.7
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,34.8,8.2,18.9,2.6,3,0,13.7,9.9,9
売上高経常利益率別,,黒字（プラス）,462,39.8,20.3,21.4,0.9,1.1,0,7.8,4.1,4.5
売上高経常利益率別,,赤字（マイナス）,271,33.2,11.1,14.8,3.7,3.3,0.4,16.6,9.2,7.7
経常損益の変化別（3年前）,,増益,197,32.5,23.4,25.4,2,0,0,8.6,3,5.1
経常損益の変化別（3年前）,,横ばい,240,43.8,14.2,14.6,0.8,2.1,0.4,9.6,6.7,7.9
経常損益の変化別（3年前）,,減益,305,35.4,14.8,18.4,2.6,3,0,13.4,7.2,5.2
