表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(30％未満)(％),減少(50％未満)(％),大幅減少(50％以上)(％),無回答(％)
,,今回調査（全体）,760,8.8,16.3,22.5,18.6,30.4,3.4
業種別,,食料品卸売業,237,8,16,21.1,21.9,30.8,2.1
業種別,,生鮮食品卸売業,126,6.3,13.5,22.2,23,32.5,2.4
業種別,,加工食品等卸売業,111,9.9,18.9,19.8,20.7,28.8,1.8
業種別,,衣料品関連卸売業,145,6.9,20,17.9,17.9,35.9,1.4
業種別,,住関連卸売業,83,7.2,13.3,30.1,12,30.1,7.2
業種別,,その他卸売業,288,11.1,14.9,24.3,17.4,27.8,4.5
従業者規模別,,1～5人,399,5.5,14,21.8,20.1,33.8,4.8
従業者規模別,,6～9人,101,12.9,25.7,26.7,13.9,20.8,0
従業者規模別,,10～49人,208,13,15.9,22.6,16.8,28.4,3.4
従業者規模別,,50人以上,36,8.3,13.9,19.4,25,33.3,0
取引形態別,一次卸,小売直取引卸,219,8.2,20.1,19.2,19.6,30.6,2.3
取引形態別,一次卸,他部門直取引卸,50,8,20,28,16,26,2
取引形態別,一次卸,元卸,154,14.3,16.9,23.4,16.2,27.3,1.9
取引形態別,二次卸,中間卸,85,1.2,10.6,24.7,20,37.6,5.9
取引形態別,二次卸,最終卸,135,8.9,11.1,24.4,22.2,29.6,3.7
取引形態別,その他,製造問屋,19,15.8,10.5,15.8,0,57.9,0
取引形態別,その他,その他卸,77,9.1,20.8,23.4,15.6,27.3,3.9
