日本標準産業分類/大分類,日本標準産業分類/中分類,日本標準産業分類/小分類・細分類,母集団割合(％),本報告書での分類,回答割合(％)
"Ⅰ卸売業，
小売業",52　飲食料品卸売業,521   農畜産物・水産物卸売業,13.2,食料品卸売業/生鮮食品卸売業,11.9
"Ⅰ卸売業，
小売業",52　飲食料品卸売業,522   食料・飲料卸売業,13.8,食料品卸売業/加工食品等卸売業,15.9
"Ⅰ卸売業，
小売業",51　繊維・衣服等卸売業,512   衣服卸売業,15.5,衣料品関連卸売業,14.5
"Ⅰ卸売業，
小売業",51　繊維・衣服等卸売業,513   身の回り品卸売業,,衣料品関連卸売業,
"Ⅰ卸売業，
小売業",54　機械器具卸売業,543   電気機械器具卸売業,21.3,住関連卸売業,20.2
"Ⅰ卸売業，
小売業",55　その他の卸売業,551   家具・建具・じゅう器等卸売業,,住関連卸売業,
"Ⅰ卸売業，
小売業",55　その他の卸売業,552   医薬品・化粧品等卸売業,36.2,その他卸売業,35.2
"Ⅰ卸売業，
小売業",55　その他の卸売業,553   紙・紙製品卸売業,,その他卸売業,
"Ⅰ卸売業，
小売業",55　その他の卸売業,559   他に分類されない卸売業（5598を除く）,,その他卸売業,
"Ⅰ卸売業，
小売業",50　各種商品卸売業,5019 その他の各種商品卸売業,,その他卸売業,
,,,,無回答,2.3
,,計,100,計,100
