表側１,表側２,表側３,回答企業数(件),市場(仲卸)(％),卸売業者(％),メーカー・製造業者(％),輸入商社(％),海外(％),その他(％),無回答(％)
,,今回調査（全体）,2003,9.3,53.6,24.1,1.1,1.6,4.4,5.8
,,前回調査,2189,11.8,53.4,23.5,1.1,1.1,4.9,4.2
業種別,,総合商品小売業,164,3,23.8,33.5,0,0,22,17.7
業種別,,生鮮食品小売業,113,62.8,33.6,0.9,0,0,0,2.7
業種別,,食料品関連小売業,511,4.5,71.8,15.5,1.6,0,2.7,3.9
業種別,,衣料品関連小売業,314,1.6,56.1,29,2.5,4.5,1.6,4.8
業種別,,住関連小売業,162,1.2,53.7,37,0,1.2,2.5,4.3
業種別,,その他小売業,737,11,49.5,26.5,0.8,2.3,4.1,5.8
従業者規模別,,1～2人,1059,9.4,58.6,21.4,1.1,1.4,3,4.9
従業者規模別,,3～5人,488,11.5,51.2,25,0.8,2.5,2.5,6.6
従業者規模別,,6～19人,272,7.7,46.7,29.8,1.1,1.5,7,6.3
従業者規模別,,20人以上,134,3,35.8,34.3,2.2,0,16.4,8.2
