表側１,表側２,表側３,回答企業数(件),都心(％),副都心(％),城東(％),城南(％),城西(％),城北(％),多摩･島しょ(％),関東(都内を除く)(％),関東以外の道府県(％),海外(％),無回答(％)
,,今回調査（全体）,2003,16.3,7.7,20.8,5.5,6.6,3.6,7.4,12.8,9.1,1.7,8.5
,,前回調査,2189,15.7,6.8,23.1,6.5,6.8,3,8.3,13.9,7.2,1.5,7.4
業種別,,総合商品小売業,164,12.2,3.7,9.1,3,1.8,0.6,6.1,40.9,3,0,19.5
業種別,,生鮮食品小売業,113,6.2,7.1,33.6,10.6,8.8,2.7,9.7,8,1.8,0.9,10.6
業種別,,食料品関連小売業,511,9.6,4.1,19.8,7.4,10.6,6.7,11.4,11.2,12.7,0,6.7
業種別,,衣料品関連小売業,314,38.5,9.2,20.4,0.3,1.3,0.3,1.6,6.7,11.5,4.1,6.1
業種別,,住関連小売業,162,7.4,11.1,22.2,6.2,8.6,2.5,11.1,11.7,9.9,1.9,7.4
業種別,,その他小売業,737,16,9.9,22,6,6.4,3.9,6.1,11.4,7.7,2.3,8.3
従業者規模別,,1～2人,1059,16.2,7.3,24.3,5.1,6.6,3.9,8,9.8,9.1,1.7,8
従業者規模別,,3～5人,488,16.6,7.6,18.6,6.1,7.6,4.3,7,11.5,10.9,2.3,7.6
従業者規模別,,6～19人,272,14,10.3,16.9,6.3,6.6,2.2,7.7,17.6,7,1.1,10.3
従業者規模別,,20人以上,134,20.1,6,9,4.5,3.7,0.7,3,33.6,7.5,0,11.9
所在地別,,都心,160,30.6,3.8,22.5,6.9,1.3,1.3,0,10.6,10,2.5,10.6
所在地別,,副都心,206,20.4,27.2,12.6,5.3,1.9,4.4,0.5,9.2,7.8,2.9,7.8
所在地別,,城東,475,14.5,1.5,49.9,0.2,1.3,0.8,0.4,12,10.3,0.6,8.4
所在地別,,城南,206,16.5,9.7,10.2,29.6,2.4,0.5,0,10.7,8.7,1,10.7
所在地別,,城西,354,14.1,7.6,12.4,5.4,26.3,0.8,0.6,13.8,9,1.7,8.2
所在地別,,城北,129,14,4.7,13.2,0,1.6,38.8,0,8.5,8.5,1.6,9.3
所在地別,,多摩,463,13.4,6.7,7.3,1.3,4.3,0.6,30.7,17.5,8.6,2.4,7.1
