表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(10％未満)(％),減少(20％未満)(％),大幅減少(20％以上)(％),無回答(％)
,,今回調査（全体）,1875,4.4,16.4,18.2,25.5,33.1,2.5
業種別,,総合商品小売業,148,14.2,16.2,23,18.9,27,0.7
業種別,,生鮮食品小売業,105,7.6,26.7,19,29.5,14.3,2.9
業種別,,食料品関連小売業,483,6.2,20.1,20.9,25.9,24,2.9
業種別,,衣料品関連小売業,290,1,8.6,10.7,25.2,53.1,1.4
業種別,,住関連小売業,155,1.3,16.8,14.2,24.5,38.7,4.5
業種別,,その他小売業,692,2.6,15.5,19.2,26.4,33.8,2.5
従業者規模別,,1～2人,1000,2.1,14.5,16.8,27.6,36.6,2.4
従業者規模別,,3～5人,460,4.8,18,17.2,24.8,32.6,2.6
従業者規模別,,6～19人,254,9.4,18.5,25.2,20.9,24,2
従業者規模別,,20人以上,127,11.8,20.5,20.5,20.5,23.6,3.1
売上高増減別(前年同期比),,増加,134,34.3,34.3,16.4,9.7,3,2.2
売上高増減別(前年同期比),,横ばい,241,4.6,43.6,25.3,17.4,5.4,3.7
売上高増減別(前年同期比),,減少,1434,1.5,10.1,17.5,28,40.9,2
売上高増減別(3年前),,増加,130,33.1,27.7,13.8,10.8,12.3,2.3
売上高増減別(3年前),,横ばい,338,7.1,43.8,22.8,12.1,11.8,2.4
売上高増減別(3年前),,減少,1346,1,8.7,17.5,30,40.5,2.4
店舗立地別,,商業地,609,3.3,14.1,17.7,27.1,36.5,1.3
店舗立地別,,大型ターミナル駅周辺,16,0,12.5,6.3,37.5,37.5,6.3
店舗立地別,,駅周辺（大型ターミナル駅を除く）,268,3,16,18.7,27.2,34.3,0.7
店舗立地別,,ロードサイド,127,9.4,23.6,22,17.3,27.6,0
店舗立地別,,住宅街,664,5.1,19.4,19.9,25.2,28.2,2.3
店舗立地別,,オフィス街,55,5.5,5.5,10.9,16.4,61.8,0
店舗立地別,,工業地・倉庫街,9,11.1,11.1,33.3,33.3,0,11.1
店舗立地別,,その他,38,0,10.5,13.2,28.9,42.1,5.3
所在地別,,都心,152,4.6,7.2,7.9,23.7,55.3,1.3
所在地別,,副都心,189,5.3,15.3,15.3,23.3,39.2,1.6
所在地別,,城東,443,3.4,17.4,20.1,26.2,31.4,1.6
所在地別,,城南,195,4.6,17.4,15.9,26.7,32.3,3.1
所在地別,,城西,333,5.7,17.1,21,25.2,28.5,2.4
所在地別,,城北,123,3.3,13.8,17.9,31.7,30.1,3.3
所在地別,,多摩,436,4.1,18.8,20,24.1,29.4,3.7
