学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,9,184,3,x,x,1,x,x
高校卒,3,21,11,194,14,146,0.8,12,255,1.3
高校卒,5,23,9,210,14,273,1.3,12,392,1.9
高校卒,10,28,11,230,16,781,3.4,14,958,4.2
高校卒,15,33,10,246,15,1363,5.5,13,1552,6.3
高校卒,20,38,11,263,16,2455,9.3,14,2877,10.9
高校卒,25,43,10,281,15,3270,11.6,13,3626,12.9
高校卒,30,48,10,299,15,4477,15,13,4892,16.4
高校卒,35,53,10,313,14,5631,18,12,6259,20
高校卒,37,55,9,321,11,6809,21.2,9,7994,24.9
高校卒,定年,定年,9,352,-,-,-,5,11428,32.5
高専・短大卒,1,21,12,191,4,x,x,4,x,x
高専・短大卒,3,23,12,200,14,187,0.9,12,300,1.5
高専・短大卒,5,25,11,212,15,331,1.6,13,470,2.2
高専・短大卒,10,30,12,235,16,855,3.6,14,1018,4.3
高専・短大卒,15,35,13,261,17,1625,6.2,14,1851,7.1
高専・短大卒,20,40,12,283,16,2657,9.4,14,2971,10.5
高専・短大卒,25,45,13,312,17,4012,12.9,14,4618,14.8
高専・短大卒,30,50,12,326,16,5182,15.9,14,5803,17.8
高専・短大卒,35,55,12,342,15,6633,19.4,13,7522,22
高専・短大卒,定年,定年,11,366,-,-,-,8,10651,29.1
大学卒,1,23,13,202,4,x,x,5,217,1.1
大学卒,3,25,14,213,16,237,1.1,13,373,1.8
大学卒,5,27,13,229,18,478,2.1,14,643,2.8
大学卒,10,32,14,263,18,1099,4.2,15,1373,5.2
大学卒,15,37,13,292,17,2116,7.2,15,2518,8.6
大学卒,20,42,13,331,17,3475,10.5,15,4085,12.3
大学卒,25,47,13,362,17,4873,13.5,15,5967,16.5
大学卒,30,52,13,391,17,6664,17,15,7944,20.3
大学卒,33,55,12,426,14,8917,20.9,12,10952,25.7
大学卒,定年,定年,11,420,-,-,-,9,13323,31.7
