学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,4,x,1,x,x,2,x,x
高校卒,3,21,6,188,6,142,0.8,6,160,0.9
高校卒,5,23,5,206,8,199,1,8,214,1
高校卒,10,28,6,226,9,517,2.3,9,570,2.5
高校卒,15,33,5,277,8,797,2.9,8,868,3.1
高校卒,20,38,6,288,9,1319,4.6,9,1438,5
高校卒,25,43,5,321,8,1545,4.8,8,1708,5.3
高校卒,30,48,6,326,9,2323,7.1,9,2528,7.8
高校卒,35,53,5,364,8,2401,6.6,8,2633,7.2
高校卒,37,55,5,371,7,2627,7.1,7,2832,7.6
高校卒,定年,定年,6,647,-,-,-,6,3323,5.1
高専・短大卒,1,21,4,x,1,x,x,3,x,x
高専・短大卒,3,23,5,212,6,147,0.7,7,191,0.9
高専・短大卒,5,25,5,237,8,246,1,8,262,1.1
高専・短大卒,10,30,6,247,10,585,2.4,10,666,2.7
高専・短大卒,15,35,5,289,9,867,3,9,987,3.4
高専・短大卒,20,40,6,293,10,1349,4.6,10,1530,5.2
高専・短大卒,25,45,5,326,9,1629,5,9,1870,5.7
高専・短大卒,30,50,6,321,10,2386,7.4,10,2675,8.3
高専・短大卒,35,55,5,356,9,2507,7,9,2791,7.8
高専・短大卒,定年,定年,5,723,-,-,-,6,3121,4.3
大学卒,1,23,6,214,2,x,x,4,x,x
大学卒,3,25,8,221,8,150,0.7,8,202,0.9
大学卒,5,27,7,250,10,263,1.1,9,290,1.2
大学卒,10,32,8,269,12,651,2.4,11,725,2.7
大学卒,15,37,7,309,11,985,3.2,10,1072,3.5
大学卒,20,42,8,309,12,1514,4.9,11,1658,5.4
大学卒,25,47,7,349,11,1904,5.5,10,2009,5.8
大学卒,30,52,8,349,12,2626,7.5,11,2794,8
大学卒,33,55,7,379,11,2797,7.4,10,2915,7.7
大学卒,定年,定年,6,688,-,-,-,7,3424,5
