表側１,表側２,表側３,回答企業数(件),単独で完備(％),他店と共同で完備(％),備えていない(％),無回答(％),(％)
,,今回調査（全体）,2003,15.2,3.5,79.9,1.4,0
業種別,,総合商品小売業,164,36,3,61,0,0
業種別,,生鮮食品小売業,113,7.1,1.8,87.6,3.5,0
業種別,,食料品関連小売業,511,12.7,2.9,82.4,2,0
業種別,,衣料品関連小売業,314,9.6,4.1,85.4,1,0
業種別,,住関連小売業,162,23.5,3.1,69.8,3.7,0
業種別,,その他小売業,737,14.2,4.1,81,0.7,0
従業者規模別,,1～2人,1059,11.1,1.8,85.5,1.6,0
従業者規模別,,3～5人,488,18,3.5,77,1.4,0
従業者規模別,,6～19人,272,18.4,7,73.5,1.1,0
従業者規模別,,20人以上,134,32.1,9.7,58.2,0,0
店舗立地別,,商業地,647,7.1,2.5,89.8,0.6,0
店舗立地別,,大型ターミナル駅周辺,16,6.3,25,62.5,6.3,0
店舗立地別,,駅周辺（大型ターミナル駅を除く）,291,7.9,6.5,85.6,0,0
店舗立地別,,ロードサイド,131,38.9,3.8,56.5,0.8,0
店舗立地別,,住宅街,711,23.3,2.4,73.3,1,0
店舗立地別,,オフィス街,59,1.7,0,98.3,0,0
店舗立地別,,工業地・倉庫街,10,30,0,70,0,0
店舗立地別,,その他,44,18.2,6.8,75,0,0
