産業,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
調査産業計,18,0,496,198421,100,-,-,-,-,-,-,-,-,-,-,-,-
調査産業計,20,0,172,208262,105,0,472,208701,100,0,488,209953,100,-,-,-,-
調査産業計,22,0,160,219726,110.7,0,145,218889,104.9,0,155,221416,105.5,0,586,222005,100
調査産業計,25,0,156,234612,118.2,0,137,236044,113.1,0,141,239416,114,0,204,244779,110.3
調査産業計,30,2,152,266955,134.5,2,135,266944,127.9,2,136,270615,128.9,2,190,280323,126.3
調査産業計,35,3,149,297129,149.7,3,130,297962,142.8,3,128,299730,142.8,3,174,318591,143.5
調査産業計,40,3,145,321452,162,3,124,326011,156.2,3,125,329641,157,3,173,358640,161.5
調査産業計,45,3,140,345919,174.3,3,121,349626,167.5,3,123,353090,168.2,3,158,387373,174.5
調査産業計,50,3,136,369877,186.4,3,117,374849,179.6,3,118,378029,180.1,3,157,420342,189.3
調査産業計,55,2,131,385374,194.2,2,115,388104,186,2,116,397409,189.3,2,151,440605,198.5
調査産業計,60,1,131,383316,193.2,1,114,391273,187.5,1,115,397300,189.2,1,147,438859,197.7
建設業,18,0,53,216734,100,-,-,-,-,-,-,-,-,-,-,-,-
建設業,20,0,20,233130,107.6,0,41,233178,100,0,45,232262,100,-,-,-,-
建設業,22,0,19,247947,114.4,0,13,240423,103.1,0,17,234471,101,0,49,238671,100
建設業,25,0,17,259771,119.9,0,12,260533,111.7,0,16,255725,110.1,0,20,254755,106.7
建設業,30,2,16,288869,133.3,2,12,295075,126.5,2,17,298106,128.3,2,19,289700,121.4
建設業,35,3,17,329512,152,3,13,329915,141.5,3,15,324467,139.7,3,18,333711,139.8
建設業,40,3,17,359559,165.9,3,12,357867,153.5,3,16,363594,156.5,3,17,374647,157
建設業,45,3,16,378244,174.5,3,12,379617,162.8,3,15,377920,162.7,3,17,398982,167.2
建設業,50,3,17,422118,194.8,3,12,405908,174.1,3,15,400587,172.5,3,18,433022,181.4
建設業,55,2,16,421500,194.5,2,11,414627,177.8,2,15,440887,189.8,2,17,456953,191.5
建設業,60,1,15,425367,196.3,1,11,431309,185,1,14,424057,182.6,1,17,459059,192.3
製造業,18,0,142,188336,100,-,-,-,-,-,-,-,-,-,-,-,-
製造業,20,0,51,194935,103.5,0,130,200162,100,0,126,200448,100,-,-,-,-
製造業,22,0,46,204943,108.8,0,39,208236,104,0,39,209779,104.7,0,149,214449,100
製造業,25,0,45,218598,116.1,0,36,221656,110.7,0,34,223141,111.3,0,48,233208,108.7
製造業,30,2,46,252472,134.1,2,37,253097,126.4,2,35,254594,127,2,46,265943,124
製造業,35,3,44,277175,147.2,3,35,284403,142.1,3,31,287097,143.2,3,41,303176,141.4
製造業,40,3,41,299671,159.1,3,33,310239,155,3,31,317835,158.6,3,41,340332,158.7
製造業,45,3,41,318937,169.3,3,33,326942,163.3,3,32,338628,168.9,3,39,363187,169.4
製造業,50,3,40,341448,181.3,3,33,352355,176,3,31,363700,181.4,3,39,394300,183.9
製造業,55,2,39,356133,189.1,2,32,366475,183.1,2,30,380840,190,2,37,414249,193.2
製造業,60,1,38,357997,190.1,1,31,365448,182.6,1,30,378897,189,1,36,437231,203.9
情報通信業,18,0,24,209096,100,-,-,-,-,-,-,-,-,-,-,-,-
情報通信業,20,0,6,209800,100.3,0,34,217921,100,0,34,217074,100,-,-,-,-
情報通信業,22,0,6,235300,112.5,0,8,223738,102.7,0,9,228878,105.4,0,47,231106,100
情報通信業,25,0,6,266300,127.4,0,8,253613,116.4,0,9,249933,115.1,0,17,257688,111.5
情報通信業,30,2,6,322383,154.2,2,8,297988,136.7,2,8,297988,137.3,2,18,305844,132.3
情報通信業,35,3,6,374317,179,3,8,351213,161.2,3,8,351213,161.8,3,15,362080,156.7
情報通信業,40,3,5,413160,197.6,3,7,399429,183.3,3,7,399429,184,3,16,421706,182.5
情報通信業,45,3,5,452540,216.4,3,7,436357,200.2,3,8,420563,193.7,3,15,488907,211.6
情報通信業,50,3,5,503560,240.8,3,7,481914,221.1,3,7,481914,222,3,14,507543,219.6
情報通信業,55,2,5,523920,250.6,2,7,491543,225.6,2,7,491543,226.4,2,14,555207,240.2
情報通信業,60,1,5,545700,261,1,7,505671,232,1,7,505671,232.9,1,13,525231,227.3
運輸業，郵便業,18,0,25,199836,100,-,-,-,-,-,-,-,-,-,-,-,-
運輸業，郵便業,20,0,11,211964,106.1,0,27,207667,100,0,25,209880,100,-,-,-,-
運輸業，郵便業,22,0,11,222427,111.3,0,10,223200,107.5,0,9,226889,108.1,0,29,215566,100
運輸業，郵便業,25,0,11,230218,115.2,0,10,233930,112.6,0,9,237144,113,0,14,230379,106.9
運輸業，郵便業,30,2,11,251855,126,2,9,247911,119.4,2,8,250150,119.2,2,12,253183,117.5
運輸業，郵便業,35,3,11,263318,131.8,3,10,260750,125.6,3,9,261278,124.5,3,12,273292,126.8
運輸業，郵便業,40,3,11,278391,139.3,3,10,270950,130.5,3,9,270389,128.8,3,12,299458,138.9
運輸業，郵便業,45,3,11,292318,146.3,3,10,284090,136.8,3,9,282544,134.6,3,12,326325,151.4
運輸業，郵便業,50,3,11,297245,148.7,3,10,294210,141.7,3,9,286567,136.5,3,12,340508,158
運輸業，郵便業,55,2,10,319670,160,2,10,307330,148,2,9,303367,144.5,2,12,362692,168.3
運輸業，郵便業,60,1,11,299482,149.9,1,10,295390,142.2,1,9,287322,136.9,1,12,352742,163.6
卸売業，小売業,18,0,95,195177,100,-,-,-,-,-,-,-,-,-,-,-,-
卸売業，小売業,20,0,29,205910,105.5,0,83,202505,100,0,88,205180,100,-,-,-,-
卸売業，小売業,22,0,26,215096,110.2,0,24,210979,104.2,0,21,215148,104.9,0,110,219389,100
卸売業，小売業,25,0,26,229038,117.3,0,22,229555,113.4,0,21,235495,114.8,0,31,246984,112.6
卸売業，小売業,30,2,26,262554,134.5,2,22,253536,125.2,2,20,260655,127,2,31,273590,124.7
卸売業，小売業,35,3,26,292658,149.9,3,21,288024,142.2,3,19,289753,141.2,3,27,306126,139.5
卸売業，小売業,40,3,25,311968,159.8,3,21,317943,157,3,19,313737,152.9,3,31,350513,159.8
卸売業，小売業,45,3,25,335960,172.1,3,20,339165,167.5,3,18,332822,162.2,3,26,365712,166.7
卸売業，小売業,50,3,22,347518,178.1,3,18,366750,181.1,3,17,360035,175.5,3,27,408111,186
卸売業，小売業,55,2,21,360776,184.8,2,18,372772,184.1,2,16,364869,177.8,2,26,417312,190.2
卸売業，小売業,60,1,22,347714,178.2,1,18,362594,179.1,1,16,352419,171.8,1,25,395488,180.3
金融業,18,0,8,210788,100,-,-,-,-,-,-,-,-,-,-,-,-
金融業,20,0,1,x,x,0,8,221013,100,0,8,221063,100,-,-,-,-
金融業,22,0,1,x,x,0,1,x,x,0,1,x,x,0,22,238064,100
金融業,25,0,1,x,x,0,1,x,x,0,1,x,x,0,5,256320,107.7
金融業,30,2,1,x,x,2,1,x,x,2,1,x,x,2,5,312380,131.2
金融業,35,3,-,-,-,3,-,-,-,3,-,-,-,3,4,x,x
金融業,40,3,-,-,-,3,-,-,-,3,-,-,-,3,3,x,x
金融業,45,3,-,-,-,3,-,-,-,3,-,-,-,3,2,x,x
金融業,50,3,-,-,-,3,-,-,-,3,-,-,-,3,2,x,x
金融業,55,2,-,-,-,2,-,-,-,2,-,-,-,2,2,x,x
金融業,60,1,-,-,-,1,-,-,-,1,-,-,-,1,2,x,x
不動産業，物品賃貸業,18,0,7,222414,100,-,-,-,-,-,-,-,-,-,-,-,-
不動産業，物品賃貸業,20,0,3,x,x,0,6,217017,100,0,6,217017,100,-,-,-,-
不動産業，物品賃貸業,22,0,2,x,x,0,2,x,x,0,2,x,x,0,12,243792,100
不動産業，物品賃貸業,25,0,2,x,x,0,2,x,x,0,2,x,x,0,4,x,x
不動産業，物品賃貸業,30,2,2,x,x,2,2,x,x,2,2,x,x,2,4,x,x
不動産業，物品賃貸業,35,3,2,x,x,3,2,x,x,3,2,x,x,3,3,x,x
不動産業，物品賃貸業,40,3,2,x,x,3,2,x,x,3,2,x,x,3,3,x,x
不動産業，物品賃貸業,45,3,2,x,x,3,2,x,x,3,2,x,x,3,4,x,x
不動産業，物品賃貸業,50,3,2,x,x,3,2,x,x,3,2,x,x,3,3,x,x
不動産業，物品賃貸業,55,2,2,x,x,2,2,x,x,2,2,x,x,2,3,x,x
不動産業，物品賃貸業,60,1,2,x,x,1,2,x,x,1,2,x,x,1,3,x,x
学術研究，専門・技術サービス業,18,0,18,212000,100,-,-,-,-,-,-,-,-,-,-,-,-
学術研究，専門・技術サービス業,20,0,8,219875,103.7,0,18,217556,100,0,22,217682,100,-,-,-,-
学術研究，専門・技術サービス業,22,0,8,233000,109.9,0,8,233000,107.1,0,10,230400,105.8,0,31,235303,100
学術研究，専門・技術サービス業,25,0,8,251500,118.6,0,8,252750,116.2,0,8,254000,116.7,0,17,269241,114.4
学術研究，専門・技術サービス業,30,2,8,290500,137,2,8,299250,137.6,2,8,300500,138,2,15,328527,139.6
学術研究，専門・技術サービス業,35,3,7,338000,159.4,3,7,338000,155.4,3,7,338000,155.3,3,12,373717,158.8
学術研究，専門・技術サービス業,40,3,7,376000,177.4,3,7,376000,172.8,3,7,376000,172.7,3,13,416608,177.1
学術研究，専門・技術サービス業,45,3,7,398286,187.9,3,7,398286,183.1,3,7,398286,183,3,10,423970,180.2
学術研究，専門・技術サービス業,50,3,5,465200,219.4,3,5,471600,216.8,3,5,465200,213.7,3,9,495867,210.7
学術研究，専門・技術サービス業,55,2,5,481200,227,2,5,481200,221.2,2,5,481200,221.1,2,9,514400,218.6
学術研究，専門・技術サービス業,60,1,5,499200,235.5,1,5,499200,229.5,1,5,499200,229.3,1,7,515114,218.9
宿泊業，飲食サービス業,18,0,31,207635,100,-,-,-,-,-,-,-,-,-,-,-,-
宿泊業，飲食サービス業,20,0,10,220620,106.3,0,28,214993,100,0,30,213493,100,-,-,-,-
宿泊業，飲食サービス業,22,0,10,224990,108.4,0,8,232250,108,0,9,226178,105.9,0,27,220263,100
宿泊業，飲食サービス業,25,0,9,229967,110.8,0,8,239500,111.4,0,9,237333,111.2,0,8,239750,108.8
宿泊業，飲食サービス業,30,2,8,239313,115.3,2,7,237714,110.6,2,8,239250,112.1,2,6,244333,110.9
宿泊業，飲食サービス業,35,3,7,242229,116.7,3,6,235000,109.3,3,7,242857,113.8,3,6,244833,111.2
宿泊業，飲食サービス業,40,3,6,264550,127.4,3,4,x,x,3,5,259000,121.3,3,4,x,x
宿泊業，飲食サービス業,45,3,6,280483,135.1,3,4,x,x,3,5,274000,128.3,3,3,x,x
宿泊業，飲食サービス業,50,3,6,289683,139.5,3,4,x,x,3,5,285000,133.5,3,3,x,x
宿泊業，飲食サービス業,55,2,6,300533,144.7,2,4,x,x,2,5,290000,135.8,2,3,x,x
宿泊業，飲食サービス業,60,1,6,309667,149.1,1,4,x,x,1,5,291000,136.3,1,3,x,x
生活関連サービス業，娯楽業,18,0,20,192830,100,-,-,-,-,-,-,-,-,-,-,-,-
生活関連サービス業，娯楽業,20,0,9,194456,100.8,0,23,204730,100,0,25,204072,100,-,-,-,-
生活関連サービス業，娯楽業,22,0,8,203475,105.5,0,9,212200,103.6,0,9,216611,106.1,0,26,214723,100
生活関連サービス業，娯楽業,25,0,8,226463,117.4,0,8,228963,111.8,0,8,234400,114.9,0,10,234810,109.4
生活関連サービス業，娯楽業,30,2,7,266943,138.4,2,7,263114,128.5,2,7,266086,130.4,2,8,272988,127.1
生活関連サービス業，娯楽業,35,3,8,306663,159,3,8,303088,148,3,8,298163,146.1,3,9,323289,150.6
生活関連サービス業，娯楽業,40,3,8,325938,169,3,7,345000,168.5,3,7,336200,164.7,3,8,365200,170.1
生活関連サービス業，娯楽業,45,3,7,367557,190.6,3,7,370514,181,3,7,362000,177.4,3,8,388525,180.9
生活関連サービス業，娯楽業,50,3,7,398957,206.9,3,7,400786,195.8,3,7,396657,194.4,3,8,426513,198.6
生活関連サービス業，娯楽業,55,2,7,406357,210.7,2,7,407043,198.8,2,7,419186,205.4,2,8,426963,198.8
生活関連サービス業，娯楽業,60,1,7,400543,207.7,1,7,410214,200.4,1,7,438214,214.7,1,8,417125,194.3
教育，学習支援業（学校教育を除く）／18,18,0,17,198159,100,-,-,-,-,-,-,-,-,-,-,-,-
教育，学習支援業（学校教育を除く）／20,20,0,7,212914,107.4,0,17,203194,100,0,18,202750,100,-,-,-,-
教育，学習支援業（学校教育を除く）／22,22,0,8,230338,116.2,0,8,225838,111.1,0,8,225838,111.4,0,23,204613,100
教育，学習支援業（学校教育を除く）／25,25,0,8,253050,127.7,0,8,248613,122.4,0,8,248613,122.6,0,11,245564,120
教育，学習支援業（学校教育を除く）／30,30,2,7,279557,141.1,2,8,273988,134.8,2,7,270271,133.3,2,10,274640,134.2
教育，学習支援業（学校教育を除く）／35,35,3,7,312700,157.8,3,7,307700,151.4,3,7,307700,151.8,3,12,306908,150
教育，学習支援業（学校教育を除く）／40,40,3,7,336129,169.6,3,7,334700,164.7,3,7,334700,165.1,3,10,342290,167.3
教育，学習支援業（学校教育を除く）／45,45,3,5,416400,210.1,3,5,412400,203,3,5,412400,203.4,3,7,396714,193.9
