表側１,表側２,表側３,回答企業数(件),小売直取引卸(％),他部門(小売業者以外)直取引卸(％),元卸(％),中間卸(％),最終卸(％),製造問屋(％),その他卸(％),無回答(％)
,,今回調査（全体）,760,28.8,6.6,20.3,11.2,17.8,2.5,10.1,2.8
,,前回調査,823,25.5,9.5,15.4,10.2,17.7,2.6,10.8,8.3
業種別,,食料品卸売業,237,23.6,5.1,15.2,15.6,27.8,2.1,8,2.5
業種別,,生鮮食品卸売業,126,19.8,4,5.6,19.8,37.3,2.4,9.5,1.6
業種別,,加工食品等卸売業,111,27.9,6.3,26.1,10.8,17.1,1.8,6.3,3.6
業種別,,衣料品関連卸売業,145,49,2.1,26.2,4.1,10.3,2.1,4.1,2.1
業種別,,住関連卸売業,83,26.5,7.2,20.5,10.8,16.9,6,7.2,4.8
業種別,,その他卸売業,288,23.3,10.1,21.5,11.5,13.5,2.1,15.3,2.8
