区分,集計企業数（社）,全員一律定年制（社）,全員一律定年制／平均年齢（歳）,全員一律定年制／60歳（社）,全員一律定年制／61歳～64歳（社）,全員一律定年制／65歳（社）,全員一律定年制／66歳（社）,全員一律定年制／67歳（社）,全員一律定年制／68歳（社）,全員一律定年制／69歳（社）,全員一律定年制／70歳（社）,全員一律定年制／71歳以上（社）,全員一律定年制／無回答（社）,その他の定年制（役職別・職種別など）（社）,定年制度なし（社）,無回答（社）
調査産業計,1012,877,61.4,624,29,199,3,1,0,0,14,0,7,19,114,2
労組有,75,71,61,53,5,12,0,0,0,0,0,0,1,1,3,0
労組無,937,806,61.4,571,24,187,3,1,0,0,14,0,6,18,111,2
建設業,85,79,61.3,56,3,17,0,0,0,0,1,0,2,2,4,0
製造業,274,262,61.1,202,9,46,0,0,0,0,3,0,2,5,6,1
情報通信業,50,48,61.5,34,1,12,0,0,0,0,1,0,0,0,2,0
運輸業，郵便業,55,51,62.3,27,4,17,1,0,0,0,2,0,0,0,4,0
卸売業，小売業,195,142,61.5,99,6,33,1,0,0,0,2,0,1,5,47,1
金融業，保険業,43,40,61.1,30,2,8,0,0,0,0,0,0,0,3,-,0
不動産業，物品賃貸業,30,29,60.5,26,0,3,0,0,0,0,0,0,0,0,1,0
学術研究，専門・技術サービス業,58,53,61.4,37,0,15,0,0,0,0,0,0,1,2,3,0
宿泊業，飲食サービス業,49,29,62.1,16,1,10,1,0,0,0,0,0,1,0,20,0
生活関連サービス業，娯楽業,33,29,61.4,22,0,6,0,0,0,0,1,0,0,0,4,0
教育，学習支援業(学校教育を除く）,32,25,60.9,19,2,4,0,0,0,0,0,0,0,1,6,0
医療，福祉,43,32,62.8,17,0,12,0,0,0,0,3,0,0,0,11,0
サービス業（他に分類されないもの）,65,58,61.7,39,1,16,0,1,0,0,1,0,0,1,6,0
10～49人,642,525,61.6,360,15,128,2,1,0,0,14,0,5,10,105,2
50～99人,225,211,61.1,157,8,43,1,0,0,0,0,0,2,7,7,0
100～299人,145,141,61.1,107,6,28,0,0,0,0,0,0,0,2,2,0
