表側,回答企業数(件),食料品卸売業(％),生鮮食品卸売業(％),加工食品等卸売業(％),衣料品関連卸売業(％),住関連卸売業(％),その他卸売業(％),無回答(％)
今回調査（全体）,760,31.2,16.6,14.6,19.1,10.9,37.9,0.9
前回調査,823,26.1,12.5,13.6,15.8,19.7,36.8,1.6
