表側１,表側２,表側３,回答企業数(件),1～5人(％),6～9人(％),10～49人(％),50人以上(％),無回答(％)
,,今回調査（全体）,760,52.5,13.3,27.4,4.7,2.1
,,前回調査,823,54.8,15.6,24.3,3.3,2.1
業種別,,食料品卸売業,237,52.7,11.4,30,3.8,2.1
業種別,,生鮮食品卸売業,126,50,10.3,33.3,4.8,1.6
業種別,,加工食品等卸売業,111,55.9,12.6,26.1,2.7,2.7
業種別,,衣料品関連卸売業,145,49.7,17.9,26.9,2.8,2.8
業種別,,住関連卸売業,83,48.2,16.9,21.7,10.8,2.4
業種別,,その他卸売業,288,55.2,11.5,27.1,4.5,1.7
取引形態別,一次卸,小売直取引卸,219,48.9,14.6,29.2,5.5,1.8
取引形態別,一次卸,他部門直取引卸,50,52,10,32,6,0
取引形態別,一次卸,元卸,154,45.5,22.7,25.3,3.9,2.6
取引形態別,二次卸,中間卸,85,68.2,9.4,18.8,2.4,1.2
取引形態別,二次卸,最終卸,135,50.4,9.6,34.1,3.7,2.2
取引形態別,その他,製造問屋,19,57.9,5.3,26.3,10.5,0
取引形態別,その他,その他卸,77,62.3,6.5,19.5,7.8,3.9
