表側,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年
人口(千人),127593,127414,127237,127095,126933,126706.21,126443.18,126166.948
増減率(％),-0.19,-0.14,-0.14,-0.11,-0.13,-0.18,-0.21,-0.22
