表側１,人口(千人),人口対全国比(％),人口密度(人／１?),人口密度倍率(倍)
東京都,14038,11.2,6398.0,19.3
神奈川県,9232,7.4,3821.0,11.5
大阪府,8782,7.0,4609.0,13.9
愛知県,7495,6.0,1449.0,4.4
埼玉県,7337,5.9,1932.0,5.8
全国,124947,100.0,331.0,1.0
