表側１,表側２,表側３,回答企業数(件),マーケットの巨大性(％),本社機能が集中(％),情報発信機能の発達(％),人口の集積(％),マーケットの先進性(％),人材が豊富(％),交通の利便性(％),小売業が集積(％),卸売業が集積(％),情報収集の利便性(％),ブランド力(％),その他(％),特にない(％),無回答(％)
,,今回調査（全体）,760,35.7,17.2,12.1,25.3,12.8,8.7,43.8,14.3,15.3,17.2,9.2,0.4,15.1,3.4
,,前回調査,823,33.9,18.5,13.4,21.5,14.5,7.8,47.3,13.1,13.6,18.2,7.5,0.7,13.1,4.9
業種別,,食料品卸売業,237,42.6,12.2,10.5,36.3,13.1,8.9,40.9,20.3,16.5,13.9,7.2,0,13.9,4.2
業種別,,生鮮食品卸売業,126,46.8,8.7,7.9,37.3,12.7,7.1,42.1,23,23,11.1,8.7,0,13.5,5.6
業種別,,加工食品等卸売業,111,37.8,16.2,13.5,35.1,13.5,10.8,39.6,17.1,9,17.1,5.4,0,14.4,2.7
業種別,,衣料品関連卸売業,145,35.2,18.6,11,24.1,11.7,6.2,42.1,19.3,17.2,15.9,13.1,0.7,12.4,2.8
業種別,,住関連卸売業,83,36.1,21.7,14.5,22.9,18.1,10.8,49.4,8.4,15.7,24.1,9.6,1.2,15.7,3.6
業種別,,その他卸売業,288,30.2,19.1,13.2,17,11.8,9.4,46.2,8,13.2,18.8,9,0.3,17.4,2.8
従業者規模別,,1～5人,399,27.6,12.3,9.8,23.3,10,3.3,39.6,13.3,16.3,15.3,9,0.8,20.1,4
従業者規模別,,6～9人,101,40.6,14.9,10.9,22.8,16.8,13.9,47.5,12.9,9.9,20.8,9.9,0,7.9,3
従業者規模別,,10～49人,208,48.1,24.5,15.4,29.3,14.4,13,47.6,15.4,16.8,18.3,10.1,0,9.6,2.4
従業者規模別,,50人以上,36,44.4,36.1,19.4,27.8,19.4,30.6,52.8,22.2,11.1,19.4,5.6,0,11.1,0
取引形態別,一次卸,小売直取引卸,219,36.5,11.9,14.2,22.4,14.2,8.2,46.1,18.7,11.4,16.4,8.7,0.9,16.4,0.9
取引形態別,一次卸,他部門直取引卸,50,34,36,14,20,14,16,58,4,14,24,8,0,12,0
取引形態別,一次卸,元卸,154,35.1,23.4,13,24.7,16.9,13.6,45.5,11,21.4,21.4,9.1,0,11.7,5.2
取引形態別,二次卸,中間卸,85,25.9,14.1,9.4,17.6,7.1,7.1,32.9,5.9,20,17.6,8.2,1.2,20,5.9
取引形態別,二次卸,最終卸,135,46.7,15.6,8.9,43,10.4,5.9,44.4,25.2,18.5,11.9,11.1,0,9.6,3
取引形態別,その他,製造問屋,19,42.1,10.5,15.8,21.1,5.3,10.5,52.6,10.5,15.8,21.1,5.3,0,15.8,5.3
取引形態別,その他,その他卸,77,33.8,15.6,11.7,19.5,13,3.9,36.4,10.4,6.5,16.9,10.4,0,20.8,3.9
所在地別,,都心,152,37.5,30.3,15.8,21.7,13.8,13.8,49.3,15.1,14.5,19.7,15.1,0,7.2,2.6
所在地別,,副都心,85,34.1,23.5,10.6,25.9,21.2,12.9,48.2,16.5,21.2,18.8,4.7,0,9.4,0
所在地別,,城東,247,36.8,10.9,9.3,24.7,10.9,5.3,44.9,15,17.4,14.6,7.3,0.4,17.8,5.3
所在地別,,城南,71,40.8,16.9,15.5,29.6,8.5,11.3,43.7,12.7,18.3,11.3,9.9,0,12.7,2.8
所在地別,,城西,75,30.7,13.3,13.3,24,14.7,6.7,41.3,18.7,9.3,22.7,13.3,0,21.3,1.3
所在地別,,城北,40,30,17.5,17.5,27.5,15,5,35,5,12.5,20,7.5,2.5,12.5,0
所在地別,,多摩,81,30.9,9.9,8.6,28.4,9.9,6.2,30.9,11.1,9.9,19.8,6.2,1.2,27.2,4.9
