表側１,表側２,表側３,回答企業数(件),品揃えの幅(フルラインナップ・一括供給)(％),品揃えの深さ(専門性)(％),商材の発掘(％),新商品の企画・開発(％),顧客への品揃えの提案(％),顧客の売場づくり支援(％),顧客への販促提案(％),顧客への情報提供(％),短納期や納期の短縮化(％),小口受注・小口配送(％),多頻度配送(％),情報収集・分析(％),金融機能(％),他事業者との連携(％),その他(％),業務の効率化・合理化(％),特になし(％),無回答(％)
,,今回調査（全体）,128,21.9,38.3,34.4,31.3,24.2,8.6,32.8,34.4,9.4,10.9,1.6,20.3,1.6,10.2,2.3,17.2,6.3,2.3
業種別,,食料品卸売業,42,26.2,47.6,33.3,31,31,11.9,42.9,33.3,2.4,16.7,4.8,9.5,2.4,14.3,4.8,21.4,7.1,2.4
業種別,,生鮮食品卸売業,19,26.3,52.6,26.3,15.8,31.6,10.5,26.3,26.3,0,21.1,10.5,0,5.3,5.3,0,15.8,5.3,5.3
業種別,,加工食品等卸売業,23,26.1,43.5,39.1,43.5,30.4,13,56.5,39.1,4.3,13,0,17.4,0,21.7,8.7,26.1,8.7,0
業種別,,衣料品関連卸売業,26,15.4,34.6,38.5,38.5,34.6,7.7,19.2,42.3,23.1,3.8,0,19.2,3.8,3.8,0,15.4,7.7,3.8
業種別,,住関連卸売業,12,0,8.3,25,8.3,16.7,16.7,50,50,8.3,0,0,33.3,0,8.3,0,16.7,0,8.3
業種別,,その他卸売業,45,28.9,37.8,37.8,33.3,15.6,4.4,26.7,28.9,8.9,11.1,0,28.9,0,8.9,2.2,15.6,6.7,0
従業者規模別,,1～5人,70,18.6,32.9,32.9,27.1,24.3,8.6,27.1,35.7,8.6,11.4,2.9,18.6,2.9,8.6,1.4,10,10,1.4
従業者規模別,,6～9人,24,20.8,41.7,33.3,33.3,16.7,12.5,41.7,33.3,12.5,8.3,0,20.8,0,16.7,8.3,20.8,0,4.2
従業者規模別,,10～49人,26,30.8,50,38.5,34.6,30.8,3.8,30.8,38.5,7.7,7.7,0,23.1,0,3.8,0,19.2,3.8,3.8
従業者規模別,,50人以上,6,33.3,33.3,16.7,50,16.7,16.7,50,16.7,16.7,16.7,0,33.3,0,16.7,0,66.7,0,0
取引形態別,一次卸,小売直取引卸,36,22.2,36.1,36.1,41.7,30.6,11.1,44.4,41.7,11.1,5.6,0,16.7,2.8,13.9,0,19.4,0,0
取引形態別,一次卸,他部門直取引卸,8,12.5,25,37.5,12.5,12.5,0,12.5,50,0,12.5,0,62.5,0,12.5,0,12.5,0,0
取引形態別,一次卸,元卸,35,25.7,48.6,40,48.6,25.7,11.4,34.3,34.3,5.7,11.4,0,17.1,2.9,14.3,8.6,22.9,5.7,0
取引形態別,二次卸,中間卸,12,8.3,33.3,41.7,8.3,8.3,0,16.7,8.3,0,41.7,8.3,8.3,0,8.3,0,16.7,16.7,8.3
取引形態別,二次卸,最終卸,22,27.3,50,27.3,18.2,27.3,9.1,18.2,40.9,9.1,0,4.5,27.3,0,0,0,9.1,13.6,4.5
取引形態別,その他,製造問屋,2,50,50,50,0,50,0,50,50,0,0,0,0,0,0,0,0,50,0
取引形態別,その他,その他卸,7,28.6,14.3,14.3,28.6,14.3,0,42.9,28.6,42.9,14.3,0,14.3,0,0,0,14.3,0,0
売上高増減別(前年同期比),,増加,23,34.8,52.2,34.8,21.7,30.4,17.4,43.5,47.8,13,4.3,0,30.4,0,4.3,8.7,13,0,0
売上高増減別(前年同期比),,横ばい,21,23.8,38.1,52.4,66.7,23.8,4.8,28.6,33.3,19,19,0,9.5,0,14.3,0,9.5,0,4.8
売上高増減別(前年同期比),,減少,83,18.1,34.9,28.9,24.1,22.9,7.2,31.3,31.3,6,10.8,2.4,19.3,2.4,10.8,1.2,20.5,9.6,2.4
売上高増減別(３年前),,増加,53,24.5,41.5,41.5,39.6,28.3,13.2,39.6,45.3,7.5,7.5,0,30.2,0,9.4,5.7,18.9,0,0
売上高増減別(３年前),,横ばい,15,33.3,46.7,26.7,33.3,26.7,6.7,20,53.3,13.3,6.7,6.7,20,0,6.7,0,0,6.7,0
売上高増減別(３年前),,減少,60,16.7,33.3,30,23.3,20,5,30,20,10,15,1.7,11.7,3.3,11.7,0,20,11.7,5
