学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
営業【学歴計】,～17歳,-,-,-,-,-,-,-,-
営業【学歴計】,18～19歳,-,-,-,-,-,-,-,-
営業【学歴計】,20～21歳,1,x,x,x,2,x,x,x
営業【学歴計】,22～24歳,154,0.8,223794,3441245,158,1,234048,3151215
営業【学歴計】,25～29歳,445,3,284348,4459050,206,3,271341,4089626
営業【学歴計】,30～34歳,474,5.2,336380,5390157,132,5.4,308696,4911624
営業【学歴計】,35～39歳,472,8.7,385840,6133347,90,7.9,365395,5210777
営業【学歴計】,40～44歳,490,12,425997,6536681,88,9.7,392602,5668849
営業【学歴計】,45～49歳,660,15.4,464220,7161005,94,10.6,374741,6342809
営業【学歴計】,50～54歳,573,16.6,497736,7502561,73,19.3,434520,7192520
営業【学歴計】,55～59歳,560,19.1,522946,7992087,23,15.4,362922,4865310
営業【学歴計】,60歳以上,230,15.1,425799,6196115,15,21.6,347037,4633893
販売【学歴計】,～17歳,-,-,-,-,-,-,-,-
販売【学歴計】,18～19歳,-,-,-,-,1,x,x,x
販売【学歴計】,20～21歳,7,0.7,203648,2845400,9,1.1,183644,2698040
販売【学歴計】,22～24歳,24,1.5,228603,3253833,15,1.3,200556,2026900
販売【学歴計】,25～29歳,31,3.7,255437,3251800,39,3.1,210628,2886285
販売【学歴計】,30～34歳,35,6,326209,4345670,36,6.8,247792,3524470
販売【学歴計】,35～39歳,53,7.2,314505,4529898,32,8.9,283464,3770435
販売【学歴計】,40～44歳,46,10.9,346520,4908002,45,10.3,299508,4185475
販売【学歴計】,45～49歳,77,12.8,358688,5283065,41,13.6,285963,4144436
販売【学歴計】,50～54歳,53,15.8,429890,6177847,36,11.6,270722,3983566
販売【学歴計】,55～59歳,30,20.1,496307,6495970,36,13.2,279575,3871503
販売【学歴計】,60歳以上,36,12.1,336187,4124003,40,11.1,254220,3067750
一般事務【学歴計】,～17歳,-,-,-,-,-,-,-,-
一般事務【学歴計】,18～19歳,-,-,-,-,1,x,x,x
一般事務【学歴計】,20～21歳,3,x,x,x,22,0.7,196456,2590657
一般事務【学歴計】,22～24歳,57,1.1,241531,3428853,122,1.1,221870,3208129
一般事務【学歴計】,25～29歳,148,3.5,298912,5001236,389,3.4,248348,4021784
一般事務【学歴計】,30～34歳,183,5.9,359025,5695717,363,5.3,282078,4401769
一般事務【学歴計】,35～39歳,222,8.8,470003,7100091,256,9.3,319931,4842419
一般事務【学歴計】,40～44歳,247,11,454672,7375371,376,11,324945,5033703
一般事務【学歴計】,45～49歳,261,16.5,498890,7782510,409,13.3,345145,5391376
一般事務【学歴計】,50～54歳,328,19.6,505508,8127848,336,16.3,333489,5324959
一般事務【学歴計】,55～59歳,275,19.2,491013,7527426,246,20.3,359792,5921870
一般事務【学歴計】,60歳以上,131,15.8,413924,6219418,66,16.5,306383,4675205
会計事務【学歴計】,～17歳,-,-,-,-,-,-,-,-
会計事務【学歴計】,18～19歳,-,-,-,-,-,-,-,-
会計事務【学歴計】,20～21歳,-,-,-,-,1,x,x,x
会計事務【学歴計】,22～24歳,10,0.9,238120,3735514,16,0.9,238185,3108243
会計事務【学歴計】,25～29歳,26,3.3,247167,3682248,53,3.5,243108,3421272
会計事務【学歴計】,30～34歳,33,4.7,333602,4730383,54,4.9,263717,3844589
会計事務【学歴計】,35～39歳,39,5.7,401249,5913314,44,7.3,295435,4235911
会計事務【学歴計】,40～44歳,47,9.8,458242,6486457,85,10.6,339684,5165092
会計事務【学歴計】,45～49歳,98,12.8,575182,8538976,114,14.1,349241,5134468
会計事務【学歴計】,50～54歳,82,14.9,594425,8307204,86,15.5,409883,6024806
会計事務【学歴計】,55～59歳,65,15.2,572326,8249908,81,16.3,427506,6076213
会計事務【学歴計】,60歳以上,38,14.9,592982,7546144,24,18.5,375671,4615755
営業・販売事務【学歴計】,～17歳,-,-,-,-,-,-,-,-
営業・販売事務【学歴計】,18～19歳,-,-,-,-,2,x,x,x
営業・販売事務【学歴計】,20～21歳,4,x,x,x,9,0.3,204276,1646700
営業・販売事務【学歴計】,22～24歳,20,0.6,222961,2738067,38,1.3,223666,3326161
営業・販売事務【学歴計】,25～29歳,58,2.9,265876,3998608,202,3.3,236099,3589087
営業・販売事務【学歴計】,30～34歳,65,4.2,284942,4340207,166,5.4,248642,4002992
営業・販売事務【学歴計】,35～39歳,75,7.3,334312,5272331,146,8.3,291366,4609741
営業・販売事務【学歴計】,40～44歳,69,10.2,366603,5827195,197,10.1,283675,4385761
営業・販売事務【学歴計】,45～49歳,82,15.7,469841,7090428,189,12.5,300937,4621877
営業・販売事務【学歴計】,50～54歳,110,21.1,439584,6699877,134,14.2,320538,4819309
営業・販売事務【学歴計】,55～59歳,73,21.7,454854,6582059,93,20.2,360919,5755086
営業・販売事務【学歴計】,60歳以上,42,17,314177,4675535,22,18.2,274990,3789400
機械技術【学歴計】,～17歳,-,-,-,-,-,-,-,-
機械技術【学歴計】,18～19歳,4,x,x,x,-,-,-,-
機械技術【学歴計】,20～21歳,21,1.7,188827,3128000,-,-,-,-
機械技術【学歴計】,22～24歳,25,2.7,213852,3527605,2,x,x,x
機械技術【学歴計】,25～29歳,58,4.8,253293,4481080,2,x,x,x
機械技術【学歴計】,30～34歳,85,7,282461,5186317,-,-,-,-
機械技術【学歴計】,35～39歳,81,12.3,313616,5369732,4,x,x,x
機械技術【学歴計】,40～44歳,80,15.7,347080,6135563,5,15.8,242582,4522680
機械技術【学歴計】,45～49歳,91,15.6,374363,6346477,9,7.8,263646,4424586
機械技術【学歴計】,50～54歳,94,18.2,405259,6745056,4,x,x,x
機械技術【学歴計】,55～59歳,79,20.2,403795,6772521,5,17.6,272834,4293080
機械技術【学歴計】,60歳以上,27,21.5,364059,6834789,-,-,-,-
電気技術【学歴計】,～17歳,-,-,-,-,-,-,-,-
電気技術【学歴計】,18～19歳,10,0.9,191072,-,-,-,-,-
電気技術【学歴計】,20～21歳,25,1.8,203391,3960007,-,-,-,-
電気技術【学歴計】,22～24歳,43,4,212434,4348255,-,-,-,-
電気技術【学歴計】,25～29歳,61,6.7,259884,5342048,2,x,x,x
電気技術【学歴計】,30～34歳,75,7.8,296048,5679014,-,-,-,-
電気技術【学歴計】,35～39歳,85,11.9,351517,6288167,9,6.6,288781,5017214
電気技術【学歴計】,40～44歳,91,14.1,421470,7511784,2,x,x,x
電気技術【学歴計】,45～49歳,107,17.5,421007,6913545,6,12.3,293650,4781800
電気技術【学歴計】,50～54歳,89,22,445324,7520770,6,11,243728,3627867
電気技術【学歴計】,55～59歳,62,21.9,464855,7781812,8,20.5,275750,4462800
電気技術【学歴計】,60歳以上,51,11.4,386774,6271624,-,-,-,-
情報処理技術【学歴計】,～17歳,-,-,-,-,-,-,-,-
情報処理技術【学歴計】,18～19歳,2,x,x,x,-,-,-,-
情報処理技術【学歴計】,20～21歳,10,0.5,194865,-,4,x,x,x
情報処理技術【学歴計】,22～24歳,107,1.5,216877,3310037,77,1.1,227625,3131042
情報処理技術【学歴計】,25～29歳,183,3.4,242004,3924342,61,3.7,238004,3926565
情報処理技術【学歴計】,30～34歳,153,5.9,300367,4723442,81,5.5,262240,4525545
情報処理技術【学歴計】,35～39歳,161,10.1,342259,5270385,28,7.6,281997,4539642
情報処理技術【学歴計】,40～44歳,152,12.9,391959,6181849,27,11.6,317338,4991993
情報処理技術【学歴計】,45～49歳,147,16.3,426496,6551968,31,16.4,357892,5372439
情報処理技術【学歴計】,50～54歳,122,20,440377,6587180,23,14,348294,5462439
情報処理技術【学歴計】,55～59歳,85,19.2,488674,7264656,15,23.4,599600,9456060
情報処理技術【学歴計】,60歳以上,16,7.7,619339,8311825,2,x,x,x
その他の技術【学歴計】,～17歳,-,-,-,-,-,-,-,-
その他の技術【学歴計】,18～19歳,7,0.7,186786,-,-,-,-,-
その他の技術【学歴計】,20～21歳,30,1.1,202686,3385060,10,0.4,198652,2736300
その他の技術【学歴計】,22～24歳,156,1.8,226239,3483619,66,1.4,232353,3430210
その他の技術【学歴計】,25～29歳,259,4.4,245145,4319277,106,3.3,260961,4228803
その他の技術【学歴計】,30～34歳,253,7,283852,5178657,60,5.1,269919,4242714
その他の技術【学歴計】,35～39歳,233,9.4,358124,5942213,70,8.7,312277,4667256
その他の技術【学歴計】,40～44歳,316,12.9,383149,6537023,68,9.9,356779,5350629
その他の技術【学歴計】,45～49歳,390,16.2,419334,7063503,63,13.6,316534,4791869
その他の技術【学歴計】,50～54歳,345,16.8,422744,7087785,44,12,359702,6083152
その他の技術【学歴計】,55～59歳,269,18.4,448534,7164068,35,15.2,380553,6040379
その他の技術【学歴計】,60歳以上,138,17.7,392791,5999175,15,11.1,276120,4042773
生産・作業【学歴計】,～17歳,-,-,-,-,-,-,-,-
生産・作業【学歴計】,18～19歳,41,0.4,192478,2205989,1,x,x,x
生産・作業【学歴計】,20～21歳,54,1.7,202545,3289541,7,1.9,196891,2515433
生産・作業【学歴計】,22～24歳,110,2.9,209249,3547983,25,1.4,197417,2917100
生産・作業【学歴計】,25～29歳,223,5.1,232179,3915734,59,3.8,223702,3240609
生産・作業【学歴計】,30～34歳,287,7,273279,4500974,57,5.7,228491,3363749
生産・作業【学歴計】,35～39歳,270,9.4,290708,4647698,63,6.9,260114,3794986
