区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,17523,40.5,8.6,306189,10669,36406,4651884,10909,41.7,9.1,318563,10497,42862,4857223,6448,38.8,8,285580,10849,25150,4277838
建設業,2611,38.3,8.3,307132,11460,52458,5148419,1889,39,8.9,315877,11006,56997,5341989,578,37.5,7.4,279262,11656,37753,4459508
製造業,4335,41,10.7,293922,11206,26662,4428006,2819,41.6,11.5,306071,11256,32176,4682290,1512,39.7,9.3,271422,11133,16002,3927995
情報通信業,1652,33.5,6,296501,9595,47779,4692419,900,33.6,6.7,307266,10075,53319,4905064,750,33.4,5.3,283309,9045,41317,4433257
運輸業，郵便業,1828,51.2,9.1,294609,6381,49615,3965954,1610,52.9,9.4,297785,5713,51954,3953163,217,38.5,7.6,272535,11352,33386,4074755
卸売業，小売業,2125,40.5,8.7,292372,12125,23074,4366617,1046,40.7,8.4,318424,12255,26682,4803154,1079,40.2,9,267026,11998,19487,3914679
金融業，保険業,1305,39.1,8.7,379259,12508,43299,6251712,598,37.9,6.6,411218,12543,55318,6867149,707,40.2,10.5,351995,12479,33184,5755858
不動産業，物品賃貸業,531,36.6,6,301096,12116,23047,4383388,292,37.2,5.4,324632,13747,25376,4588369,239,35.9,6.8,272340,10124,20201,4112768
学術研究，専門・技術サービス業,939,39,6.2,383546,8987,21171,5352888,466,40.3,6.5,441510,8913,24604,6222908,473,37.8,6,326565,9060,17909,4513602
宿泊業，飲食サービス業,457,38.9,6.9,290634,10357,31175,3641509,269,40.5,8,307352,9435,41829,3950261,173,36.4,5.6,268074,12209,17697,3140860
生活関連サービス業，娯楽業,315,38.8,6.5,279272,12900,24998,3863955,147,39.4,6.7,292472,15474,38721,4281525,168,38.3,6.4,267654,10648,13002,3496730
教育，学習支援業（学校教育を除く）,224,42,8.2,279568,9470,59188,4804091,99,45.2,8.9,299779,12043,79528,5272036,125,39.5,7.6,263433,7433,43582,4359253
医療，福祉,360,41.8,5.4,276822,8165,29486,3958721,144,37.7,4.4,271726,10811,32431,3950289,216,44.6,6.1,280251,6401,27332,3964131
サービス業（他に分類されないもの）,841,42.6,10.6,285959,12044,36059,4578954,630,41.9,10.8,291765,12192,44584,4752035,211,44.6,10,268654,11601,10812,4024901
