,,『増加』,『増加』,,『減少』,『減少』,,,
,,大幅(10％以上)増加,やや(10％未満)増加,ほぼ(±5%未満)横ばい,やや(10％未満)減少,大幅(10％以上)減少,３年前は未創業,無回答,ｎ
,今回調査（全体）,4.1,9.5,51.9,16.9,12.6,1.4,3.6,2348
業種別,情報・コンテンツ業,5,8.9,57.2,12.2,11.9,1.4,3.4,640
業種別,専門サービス業,4.9,10.4,42.7,20.5,15.5,1.7,4.4,820
業種別,技術サービス業,2.1,9.7,59.7,15.3,10.3,0.6,2.4,340
業種別,事業サービス業,3,9.1,54.4,18.1,10.7,1.4,3.4,507
特定10業種,ソフトウェア業,4.5,10.5,62.6,8.4,9.4,1.4,3.1,286
特定10業種,インターネット附随サービス業,11.3,12.9,40.3,9.7,17.7,4.8,3.2,62
特定10業種,映像情報制作・配給業,0,5.9,61.8,13.2,14.7,0,4.4,68
特定10業種,出版業,3.6,0,50.9,18.2,25.5,0,1.8,55
特定10業種,税理士事務所,3.7,11.5,40.4,29.8,11.5,0.5,2.8,218
特定10業種,デザイン業,5.8,9.6,37.5,21.2,23.1,0,2.9,104
特定10業種,経営コンサルタント業,3.4,13.4,46.4,14,13.4,2.2,7.3,179
特定10業種,建築設計業,2.8,11.7,55.6,15.6,11.7,0.6,2.2,180
特定10業種,自動車整備業,1.9,5.6,53.7,27.8,9.3,0,1.9,54
特定10業種,建物サービス業,0.9,10.8,62.2,17.1,5.4,0,3.6,111
従業者規模別,1～2人,3.7,5,48.6,17.4,17.6,2.3,5.4,971
従業者規模別,3～5人,3.8,11.3,48.2,20.2,12.6,1.2,2.6,573
従業者規模別,6～9人,1.6,9.6,60.8,17.6,6.4,0.8,3.2,250
従業者規模別,10～29人,5.1,15.2,57,13.9,7,0.3,1.6,316
従業者規模別,30人以上,8.6,16.7,59.5,8.6,5.2,0,1.4,210
年間売上高増減別（３年前）,大幅(10％以上)増加,24.4,21.4,43.2,6,3.8,0,1.3,234
年間売上高増減別（３年前）,やや(10％未満)増加,5,29.4,59.7,3.8,1.3,0,0.8,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,1.2,8.6,75.8,12.4,1.1,0,0.9,662
年間売上高増減別（３年前）,やや(10％未満)減少,0.6,5.8,54.2,31.5,7.1,0,0.6,308
年間売上高増減別（３年前）,大幅(10％以上)減少,2,3.3,37.6,24.4,32.1,0,0.6,795
売上高経常利益率別,黒字,4.7,11.6,55.4,15.3,7.9,1.1,4,1409
売上高経常利益率別,赤字,3.5,4.9,45,19,22.7,2.3,2.6,693
経常損益の変化別（３年前）,増益,10.2,17.5,54.4,9,7.9,0,1.1,469
経常損益の変化別（３年前）,横ばい,2.2,10.7,64.7,15.3,6.1,0,0.9,765
経常損益の変化別（３年前）,減益,2.9,5.5,45.7,24.2,21.1,0,0.6,973
