表側１,表側２,表側３,回答企業数(件),すべて自社(％),一部を外部委託(％),全部を外部委託(％),該当する業務なし(％),無回答(％)
,,今回調査（全体）,760,64.3,17.4,7.8,7.9,2.6
,,前回調査,823,67,14,8.9,6.9,3.3
業種別,,食料品卸売業,237,67.1,13.5,11,5.5,3
業種別,,生鮮食品卸売業,126,75.4,9.5,7.1,4.8,3.2
業種別,,加工食品等卸売業,111,57.7,18,15.3,6.3,2.7
業種別,,衣料品関連卸売業,145,61.4,20,6.9,6.2,5.5
業種別,,住関連卸売業,83,61.4,15.7,4.8,15.7,2.4
業種別,,その他卸売業,288,64.6,19.4,6.3,8.7,1
従業者規模別,,1～5人,399,66.9,10.8,7.8,11.5,3
従業者規模別,,6～9人,101,57.4,20.8,10.9,7.9,3
従業者規模別,,10～49人,208,63.9,26,6.7,2.4,1
従業者規模別,,50人以上,36,61.1,33.3,2.8,2.8,0
取引形態別,一次卸,小売直取引卸,219,66.7,16,9.6,5.5,2.3
取引形態別,一次卸,他部門直取引卸,50,42,28,8,22,0
取引形態別,一次卸,元卸,154,55.8,24,13.6,5.2,1.3
取引形態別,二次卸,中間卸,85,68.2,10.6,7.1,8.2,5.9
取引形態別,二次卸,最終卸,135,71.9,14.8,3.7,5.9,3.7
取引形態別,その他,製造問屋,19,73.7,21.1,0,0,5.3
取引形態別,その他,その他卸,77,70.1,11.7,2.6,14.3,1.3
