表側１,表側２,表側３,回答企業数(件),業務プロセスの見直し(%),業務分担の見直し（平準化等）(%),業務の標準化・マニュアルの作成(%),人材のマルチスキル化・兼任化(%),ＩＣＴの利活用(%),整理・整頓他（５Ｓ）(%),その他(%),無回答(%)
,,"今回調査
（全体）",121,38.0,39.7,26.4,35.5,33.9,41.3,1.7,0.8
,,前回調査,125,48.0,39.2,26.4,29.6,27.2,40.0,6.4,0.0
業種別,,総合商品小売業,25,40.0,64.0,36.0,40.0,40.0,32.0,0.0,0.0
業種別,,生鮮食品小売業,6,0.0,16.7,0.0,16.7,16.7,50.0,0.0,0.0
業種別,,食料品関連小売業,26,50.0,46.2,19.2,42.3,30.8,46.2,0.0,0.0
業種別,,衣料品関連小売業,10,30.0,30.0,10.0,40.0,30.0,60.0,0.0,0.0
業種別,,住関連小売業,5,60.0,40.0,100.0,20.0,20.0,40.0,0.0,0.0
業種別,,その他小売業,48,35.4,27.1,25.0,33.3,37.5,39.6,4.2,2.1
従業者規模別,,１～２人,24,45.8,16.7,12.5,16.7,16.7,70.8,0.0,0.0
従業者規模別,,３～５人,28,35.7,28.6,14.3,25.0,32.1,60.7,0.0,0.0
従業者規模別,,６～19人,32,40.6,50.0,28.1,43.8,50.0,15.6,3.1,0.0
従業者規模別,,20人以上,32,37.5,53.1,50.0,53.1,31.3,25.0,3.1,3.1
年間売上高増減別（3年前）,,増加（５％以上）,25,28.0,48.0,40.0,36.0,32.0,44.0,0.0,0.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,42,38.1,38.1,28.6,31.0,31.0,28.6,2.4,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,18,50.0,44.4,27.8,44.4,44.4,27.8,5.6,5.6
年間売上高増減別（3年前）,,減少（20％未満）,16,50.0,25.0,12.5,43.8,50.0,50.0,0.0,0.0
年間売上高増減別（3年前）,,大幅減少（20％以上）,17,29.4,41.2,11.8,29.4,11.8,64.7,0.0,0.0
売上高経常利益率別,,黒字（プラス）,69,39.1,34.8,29.0,37.7,33.3,37.7,2.9,1.4
売上高経常利益率別,,赤字（マイナス）,50,36.0,46.0,24.0,34.0,36.0,46.0,0.0,0.0
経常損益の変化別（3年前）,,増益,31,51.6,54.8,22.6,45.2,25.8,32.3,6.5,0.0
経常損益の変化別（3年前）,,横ばい,46,28.3,34.8,23.9,28.3,26.1,43.5,0.0,0.0
経常損益の変化別（3年前）,,減益,43,37.2,32.6,30.2,34.9,46.5,44.2,0.0,2.3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
