表側１,表側２,表側３,回答企業数(件),１千万円未満(％),１～３千万円未満(％),３～５千万円未満(％),５千万～１億円未満(％),１～３億円未満(％),３～５億円未満(％),５～10億円未満(％),10億円以上(％),無回答(％)
,,"今回調査
（全体）",767,38.5,17.6,8.5,9.8,10.2,4.6,3.8,2.3,4.8
,,前回調査,760,41.2,16.2,8.8,7.6,13.2,4.3,3.6,1.3,3.8
業種別,,食料品卸売業,213,38.0,18.8,8.9,12.2,10.3,3.8,4.2,1.4,2.3
業種別,,生鮮食品卸売業,91,29.7,23.1,9.9,17.6,9.9,3.3,6.6,0.0,0.0
業種別,,加工食品等卸売業,122,44.3,15.6,8.2,8.2,10.7,4.1,2.5,2.5,4.1
業種別,,衣料品関連卸売業,111,45.0,21.6,7.2,9.0,8.1,2.7,1.8,1.8,2.7
業種別,,住関連卸売業,155,40.6,13.5,8.4,9.7,10.3,6.5,4.5,3.9,2.6
業種別,,その他卸売業,270,37.4,18.1,9.3,8.9,11.5,5.2,4.1,2.6,3.0
従業者規模別,,１～５人,406,54.7,22.9,8.1,7.1,1.2,0.2,0.0,0.0,5.7
従業者規模別,,６～９人,119,22.7,17.6,19.3,20.2,10.9,3.4,0.8,0.8,4.2
従業者規模別,,10～49人,192,17.2,8.3,3.6,10.9,30.7,14.6,10.4,1.6,2.6
従業者規模別,,50人以上,28,10.7,0.0,0.0,0.0,3.6,7.1,25.0,50.0,3.6
取引形態別,一次卸,小売直取引卸,229,41.0,17.9,7.0,9.2,11.4,4.8,3.5,2.6,2.6
取引形態別,一次卸,他部門直取引卸,67,32.8,17.9,7.5,9.0,13.4,7.5,9.0,1.5,1.5
取引形態別,一次卸,元卸,127,29.1,12.6,9.4,11.8,15.7,7.1,5.5,3.1,5.5
取引形態別,二次卸,中間卸,93,46.2,19.4,10.8,7.5,6.5,3.2,2.2,2.2,2.2
取引形態別,二次卸,最終卸,131,38.2,22.1,9.9,13.0,9.9,3.1,2.3,0.8,0.8
取引形態別,その他,製造問屋,20,50.0,10.0,20.0,5.0,5.0,0.0,0.0,5.0,5.0
取引形態別,その他,その他卸,65,46.2,18.5,7.7,7.7,3.1,4.6,4.6,4.6,3.1
