,,500万円未満,500万～1千万円未満,1～3千万円未満,3～5千万円未満,5千万～1億円未満,1～3億円未満,3～5億円未満,5～10億円未満,10億円以上,無回答            ,ｎ
,今回調査（全体）,14.1,14.4,23,11.3,11.8,14.1,3.4,4,2.7,1.1,2348
,前回調査,10,12.4,21.3,12.5,13.9,15,4.6,5.2,3.7,1.5,2263
業種別,情報・コンテンツ業,9.7,12.7,20.6,9.5,14.5,19.4,3.4,5.8,3.8,0.6,640
業種別,専門サービス業,17.2,18.7,28.4,14,10.7,7.3,0.9,1.5,0.6,0.7,820
業種別,技術サービス業,17.4,15.3,23.8,10,10,12.9,5.3,3.5,1.8,0,340
業種別,事業サービス業,12.8,9.5,17.8,10.3,10.7,19.1,6.7,6.3,5.5,1.4,507
特定10業種別,ソフトウェア業,7.3,9.1,23.1,7,15.4,24.1,4.5,6.3,3.1,0,286
特定10業種別,インターネット附随サービス業,12.9,19.4,21,14.5,9.7,11.3,1.6,3.2,4.8,1.6,62
特定10業種別,映像情報制作・配給業,5.9,11.8,20.6,10.3,13.2,16.2,2.9,11.8,5.9,1.5,68
特定10業種別,出版業,5.5,21.8,25.5,12.7,18.2,9.1,3.6,1.8,1.8,0,55
特定10業種別,税理士事務所,6,13.3,38.1,23.4,12.4,4.6,0.5,0,0,1.8,218
特定10業種別,デザイン業,26.9,17.3,24,7.7,10.6,10.6,0,2.9,0,0,104
特定10業種別,経営コンサルタント業,20.7,24.6,26.3,10.6,8.9,6.1,0.6,1.7,0.6,0,179
特定10業種別,建築設計業,17.2,18.9,22.8,10.6,9.4,10,3.9,4.4,2.8,0,180
特定10業種別,自動車整備業,13,13,35.2,9.3,9.3,16.7,0,0,1.9,1.9,54
特定10業種別,建物サービス業,8.1,9,18.9,11.7,18,18.9,4.5,8.1,0.9,1.8,111
従業者規模別,1～2人,30.4,27.6,30.8,6.5,2.6,0.9,0.1,0.1,0.1,0.9,971
従業者規模別,3～5人,5.1,10.3,35.8,24.4,15.7,5.8,0.9,0.5,0.3,1.2,573
従業者規模別,6～9人,0.4,1.6,9.2,20.4,40.4,22,1.6,1.6,0.4,2.4,250
従業者規模別,10～29人,0.3,0.6,1.9,3.5,17.1,58.2,8.9,7,1.9,0.6,316
従業者規模別,30人以上,0,0.5,1,0,1.9,20.5,20,30,24.8,1.4,210
