表側１,表側２,表側３,回答企業数(件),規模の拡大(%),利益の拡大(%),知名度の向上(%),地域や社会への貢献(%),業界の発展(%),持続的経営(%),雇用の維持(%),従業員の成長・幸福(%),企業理念等の実現(%),その他(%),無回答(%)
,,"今回調査
（全体）",767,12.5,58.1,12.1,19.9,18.5,62.7,34.3,40.5,12.1,0.9,5.6
業種別,,食料品卸売業,213,11.7,56.8,10.3,17.8,13.1,60.1,38.5,41.3,10.8,0.9,5.6
業種別,,生鮮食品卸売業,91,9.9,46.2,2.2,14.3,7.7,58.2,37.4,42.9,5.5,1.1,4.4
業種別,,加工食品等卸売業,122,13.1,64.8,16.4,20.5,17.2,61.5,39.3,40.2,14.8,0.8,6.6
業種別,,衣料品関連卸売業,111,14.4,59.5,17.1,15.3,19.8,67.6,33.3,38.7,10.8,0.9,5.4
業種別,,住関連卸売業,155,14.2,56.1,13.5,23.2,17.4,61.3,32.9,39.4,14.2,0.6,5.8
業種別,,その他卸売業,270,11.9,60.4,10.7,21.9,22.6,63.7,33.0,41.5,12.6,1.1,5.2
従業者規模別,,１～５人,406,8.1,50.5,9.6,16.0,16.3,60.1,16.7,25.6,8.1,1.7,6.4
従業者規模別,,６～９人,119,10.9,62.2,9.2,22.7,19.3,67.2,52.1,53.8,10.1,0.0,5.9
従業者規模別,,10～49人,192,20.3,70.8,18.8,26.0,22.4,69.3,56.8,64.1,20.8,0.0,3.6
従業者規模別,,50人以上,28,25.0,71.4,21.4,32.1,17.9,50.0,60.7,53.6,21.4,0.0,0.0
取引形態別,一次卸,小売直取引卸,229,9.6,62.0,16.2,21.8,19.2,65.9,35.8,43.2,12.2,1.3,3.5
取引形態別,一次卸,他部門直取引卸,67,17.9,61.2,6.0,35.8,19.4,82.1,38.8,47.8,22.4,1.5,0.0
取引形態別,一次卸,元卸,127,18.1,65.4,21.3,18.9,20.5,57.5,42.5,46.5,15.0,0.0,4.7
取引形態別,二次卸,中間卸,93,8.6,53.8,4.3,11.8,17.2,51.6,26.9,34.4,6.5,1.1,9.7
取引形態別,二次卸,最終卸,131,10.7,46.6,6.9,19.8,16.0,69.5,38.9,37.4,9.9,0.8,6.1
取引形態別,その他,製造問屋,20,15.0,80.0,5.0,0.0,15.0,50.0,20.0,15.0,5.0,0.0,5.0
取引形態別,その他,その他卸,65,13.8,60.0,7.7,18.5,16.9,49.2,21.5,35.4,10.8,0.0,9.2
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,24.2,70.0,15.0,32.5,19.2,62.5,39.2,60.0,18.3,0.0,4.2
年間売上高増減別（3年前）,,やや増加（10％未満）,108,13.0,60.2,15.7,16.7,16.7,63.9,45.4,50.0,9.3,1.9,0.9
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,13.0,60.4,11.0,22.1,20.8,61.7,37.0,40.3,11.7,0.6,4.5
年間売上高増減別（3年前）,,やや減少（10％未満）,124,7.3,52.4,9.7,16.9,15.3,64.5,28.2,27.4,11.3,0.0,9.7
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,9.9,52.8,10.7,15.0,18.0,62.7,29.6,33.0,11.2,1.7,6.4
売上高経常利益率別,,黒字（プラス）,462,14.7,61.9,14.5,22.9,19.7,64.1,39.2,46.5,13.2,1.3,5.2
売上高経常利益率別,,赤字（マイナス）,271,9.6,53.5,8.5,15.5,14.8,61.6,27.7,31.7,11.1,0.4,5.5
経常損益の変化別（3年前）,,増益,197,17.8,66.5,16.2,24.9,19.3,61.4,44.2,52.8,16.8,1.0,3.6
経常損益の変化別（3年前）,,横ばい,240,8.8,52.1,10.8,16.3,17.1,62.1,30.8,37.5,9.2,0.8,7.9
経常損益の変化別（3年前）,,減益,305,12.8,57.7,10.5,19.3,17.7,64.3,31.5,35.4,11.5,1.0,4.9
