学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,31,186,11,75,0.4,17,105,0.6
高校卒,3,21,29,197,37,208,1.1,38,291,1.5
高校卒,5,23,31,209,43,383,1.8,44,511,2.4
高校卒,10,28,33,249,43,1041,4.2,43,1304,5.2
高校卒,15,33,30,275,40,1961,7.1,41,2356,8.6
高校卒,20,38,31,304,42,3101,10.2,43,3588,11.8
高校卒,25,43,29,340,38,4472,13.2,39,5134,15.1
高校卒,30,48,29,377,38,5893,15.6,39,6359,16.9
高校卒,35,53,29,400,38,7286,18.2,39,8153,20.4
高校卒,37,55,29,409,36,7915,19.4,37,8891,21.7
高校卒,定年,定年,33,548,-,-,-,35,10361,18.9
高専・短大卒,1,21,36,196,11,82,0.4,15,117,0.6
高専・短大卒,3,23,34,207,40,212,1,40,304,1.5
高専・短大卒,5,25,35,222,44,416,1.9,43,555,2.5
高専・短大卒,10,30,34,253,43,1098,4.3,43,1389,5.5
高専・短大卒,15,35,32,287,42,2102,7.3,42,2526,8.8
高専・短大卒,20,40,31,322,41,3470,10.8,41,4024,12.5
高専・短大卒,25,45,31,356,40,4908,13.8,40,5552,15.6
高専・短大卒,30,50,31,388,40,6517,16.8,40,7265,18.7
高専・短大卒,35,55,30,416,40,7789,18.7,40,8910,21.4
高専・短大卒,定年,定年,32,563,-,-,-,36,10103,17.9
大学卒,1,23,44,213,12,82,0.4,19,134,0.6
大学卒,3,25,47,230,52,229,1,51,350,1.5
大学卒,5,27,48,252,58,605,2.4,56,798,3.2
大学卒,10,32,46,286,56,1226,4.3,55,1622,5.7
大学卒,15,37,45,322,54,2353,7.3,55,2773,8.6
大学卒,20,42,44,364,54,3922,10.8,54,4690,12.9
大学卒,25,47,43,399,52,5651,14.2,52,6457,16.2
大学卒,30,52,43,431,52,7474,17.3,52,8363,19.4
大学卒,33,55,44,449,52,8642,19.2,52,9562,21.3
大学卒,定年,定年,46,541,-,-,-,47,11329,20.9
